scheme,target_coverage,coverage,ci_lo,ci_hi,delta_vs_plain,delta_ci_lo,delta_ci_hi,p
siteholdout_uni2,0.9,0.8514285714285714,0.8,0.9028571428571428,-0.02285714285714291,-0.04571428571428571,-0.005714285714285672,0.028985507246376812
siteholdout_uni2,0.8,0.6628571428571428,0.5942857142857143,0.7314285714285714,-0.10285714285714287,-0.15428571428571425,-0.05714285714285716,0.0009995002498750624
siteholdout_uni2,0.7,0.52,0.44571428571428573,0.6,-0.11428571428571421,-0.16014285714285717,-0.06857142857142862,0.0009995002498750624
siteholdout_hoptimus,0.9,0.9428571428571428,0.9085714285714286,0.9771428571428571,0.0685714285714285,0.03428571428571425,0.10857142857142854,0.0009995002498750624
siteholdout_hoptimus,0.8,0.8742857142857143,0.8228571428571428,0.92,0.10857142857142865,0.0685714285714285,0.15428571428571436,0.0009995002498750624
siteholdout_hoptimus,0.7,0.8114285714285714,0.7485714285714286,0.8685714285714285,0.17714285714285716,0.12571428571428567,0.23428571428571432,0.0009995002498750624
