tier,method,target_coverage,n,coverage,ci_lo,ci_hi,delta_vs_plain,delta_ci_lo,delta_ci_hi,p
Level A,plain,0.9,175,0.8742857142857143,0.8228571428571428,0.92,,,,
Level A,weighted_uni2,0.9,175,0.8514285714285714,0.8,0.9028571428571428,-0.02285714285714291,-0.04571428571428571,-0.005714285714285672,0.03798100949525238
Level A,weighted_hoptimus,0.9,175,0.92,0.88,0.9542857142857143,0.04571428571428571,0.017142857142857126,0.07999999999999996,0.0009995002498750624
Level A,plain,0.8,175,0.7657142857142857,0.7028571428571428,0.8285714285714286,,,,
Level A,weighted_uni2,0.8,175,0.6057142857142858,0.5314285714285715,0.68,-0.15999999999999992,-0.21714285714285708,-0.10857142857142854,0.0009995002498750624
Level A,weighted_hoptimus,0.8,175,0.8742857142857143,0.8228571428571428,0.92,0.10857142857142865,0.06285714285714283,0.15428571428571436,0.0009995002498750624
Level A,plain,0.7,175,0.6342857142857142,0.56,0.7028571428571428,,,,
Level A,weighted_uni2,0.7,175,0.5028571428571429,0.4342857142857143,0.5771428571428572,-0.13142857142857134,-0.18285714285714283,-0.08000000000000007,0.0009995002498750624
Level A,weighted_hoptimus,0.7,175,0.8057142857142857,0.7485714285714286,0.8628571428571429,0.17142857142857149,0.12,0.22857142857142854,0.0009995002498750624
