target_coverage,method,method_label,risk_full,n_retained,risk_retained,risk_retained_ci_lo,risk_retained_ci_hi,risk_reduction_vs_no_conformal,n_both,risk_both,n_empty,risk_empty,defer_rate
0.9,plain,Plain conformal,0.17419354838709677,119,0.12605042016806722,0.06722689075630252,0.18487394957983194,1.3819354838709679,36,0.3333333333333333,0,,0.23225806451612904
0.9,weighted_uni2,Weighted (UNI2),0.17419354838709677,121,0.1322314049586777,0.0743801652892562,0.19834710743801653,1.3173387096774194,34,0.3235294117647059,0,,0.21935483870967742
0.9,weighted_hoptimus,Weighted (H-optimus),0.17419354838709677,88,0.11363636363636363,0.056818181818181816,0.18181818181818182,1.5329032258064517,67,0.2537313432835821,0,,0.432258064516129
0.8,plain,Plain conformal,0.17419354838709677,148,0.1554054054054054,0.10135135135135136,0.21621621621621623,1.1208976157082748,0,,7,0.5714285714285714,0.04516129032258064
0.8,weighted_uni2,Weighted (UNI2),0.17419354838709677,125,0.128,0.072,0.192,1.3608870967741935,0,,30,0.36666666666666664,0.1935483870967742
0.8,weighted_hoptimus,Weighted (H-optimus),0.17419354838709677,123,0.12195121951219512,0.06504065040650407,0.1790650406504054,1.4283870967741936,32,0.375,0,,0.2064516129032258
0.7,plain,Plain conformal,0.17419354838709677,128,0.125,0.0703125,0.1875,1.3935483870967742,0,,27,0.4074074074074074,0.17419354838709677
0.7,weighted_uni2,Weighted (UNI2),0.17419354838709677,102,0.11764705882352941,0.058823529411764705,0.17647058823529413,1.4806451612903226,0,,53,0.2830188679245283,0.3419354838709677
0.7,weighted_hoptimus,Weighted (H-optimus),0.17419354838709677,147,0.1564625850340136,0.10204081632653061,0.21768707482993196,1.1133239831697055,8,0.5,0,,0.05161290322580645
