target_coverage,n_cal,n_scored,coverage,ci_lo,ci_hi,deferral_rate,n_empty
0.9,157,155,0.8774193548387097,0.8258064516129032,0.9227419354838701,0.12903225806451613,0
0.8,157,155,0.7677419354838709,0.7032258064516129,0.832258064516129,0.09032258064516129,14
0.7,157,155,0.7032258064516129,0.632258064516129,0.7741935483870968,0.1935483870967742,30
