tier,target_coverage,n_automated,n_total,automation_rate,automation_rate_lo,automation_rate_hi,pipeline_accuracy,pipeline_accuracy_lo,pipeline_accuracy_hi,full_set_accuracy,stage1_error_on_known_mutant_pop
ATRX-confident (headline),0.9,244,320,0.7625,0.715625,0.80625,0.8155737704918032,0.7682926829268293,0.864,0.6850393700787402,0.13385826771653545
ATRX-confident (headline),0.8,212,320,0.6625,0.609375,0.715625,0.8632075471698113,0.8160377358490566,0.9081644976831312,0.6850393700787402,0.13385826771653545
ATRX-confident (headline),0.7,179,320,0.559375,0.503125,0.6125,0.8770949720670391,0.8280975506756757,0.9254773406947319,0.6850393700787402,0.13385826771653545
Full 138 (incl. discordant),0.9,245,320,0.765625,0.71875,0.8125,0.8163265306122449,0.7666532258064517,0.8617920195938361,0.6521739130434783,0.15942028985507245
Full 138 (incl. discordant),0.8,212,320,0.6625,0.6125,0.715625,0.8632075471698113,0.8172991071428571,0.9078356172689789,0.6521739130434783,0.15942028985507245
Full 138 (incl. discordant),0.7,179,320,0.559375,0.50625,0.6125,0.8770949720670391,0.8273668196328811,0.9239853010905642,0.6521739130434783,0.15942028985507245
