signal,target_coverage,achieved_coverage,coverage_shift,calibration_cutoff,metric,full,retained,delta_vs_full,d_full,d_full_lo,d_full_hi,d_full_mde,p_full_raw,random_mean,random_lo,random_hi,delta_vs_random,pct_in_random,p_raw,retained_prev,random_prev,full_prev,n_retained,n_evaluation,family,predictor,tier,q_fdr,sig_fdr,q_fdr_full,sig_fdr_full
aleatoric,0.9,0.5748031496062992,-0.32519685039370083,0.428097180452414,auroc,0.9225037257824144,0.9685374149659864,0.04603368918357209,0.04614747609266383,-0.0020282602587221696,0.0966248457361371,0.06912272583010151,0.056,0.9232306130733593,0.8824850908105177,0.9609782903203956,0.045306801892627147,0.993,0.015984015984015984,0.6712328767123288,0.5181506849315068,0.5196850393700787,73,127,predictive,ensemble,confident,0.08220351077493936,False,0.16061538461538463,False
aleatoric,0.9,0.5748031496062992,-0.32519685039370083,0.428097180452414,auprc,0.9320934422175569,0.9774675120751803,0.04537406985762349,0.04546903610191222,0.02056141844009175,0.0785372757075279,0.04272543384915531,0.0,0.9332524262798999,0.8935146245639255,0.9694033039053941,0.04421508579528044,0.995,0.011988011988011988,0.6712328767123288,0.5181506849315068,0.5196850393700787,73,127,predictive,ensemble,confident,0.049796357488665184,True,0.0,True
aleatoric,0.9,0.5748031496062992,-0.32519685039370083,0.428097180452414,bss,0.5217635811208889,0.8156053913441361,0.2938418102232472,0.28976513878934823,0.17516426199728466,0.41022353375291365,0.16997044754480692,0.0,0.5204014184989795,0.4219011318222572,0.6239119849307868,0.29520397284515665,1.0,0.001998001998001998,0.6712328767123288,0.5181506849315068,0.5196850393700787,73,127,predictive,ensemble,confident,0.002568859711716855,True,0.0,True
aleatoric,0.9,0.5748031496062992,-0.32519685039370083,0.428097180452414,balanced_accuracy,0.6721311475409836,0.9375,0.2653688524590164,0.2623960111137958,0.19961572668358568,0.3365575396825397,0.09780165245220253,0.0,0.6723516825783366,0.6216216216216216,0.7258064516129032,0.26514831742166345,1.0,0.001998001998001998,0.6712328767123288,0.5181506849315068,0.5196850393700787,73,127,predictive,ensemble,confident,0.0026640026640026644,True,0.0,True
aleatoric,0.9,0.5748031496062992,-0.32519685039370083,0.428097180452414,sensitivity,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.6712328767123288,0.5181506849315068,0.5196850393700787,73,127,predictive,ensemble,confident,1.0,False,1.0,False
aleatoric,0.9,0.5748031496062992,-0.32519685039370083,0.428097180452414,specificity,0.3442622950819672,0.875,0.5307377049180328,0.5247920222275916,0.39923145336717125,0.6731150793650794,0.19560330490440506,0.0,0.34470336515667294,0.24324324324324326,0.45161290322580644,0.5302966348433271,1.0,0.001998001998001998,0.6712328767123288,0.5181506849315068,0.5196850393700787,73,127,predictive,ensemble,confident,0.0026640026640026644,True,0.0,True
aleatoric,0.9,0.5748031496062992,-0.32519685039370083,0.428097180452414,ppv,0.6226415094339622,0.9423076923076923,0.31966618287373005,0.3178079987058801,0.22885182558531617,0.4147429616789196,0.13378543049075287,0.0,0.621375588504588,0.5409836065573771,0.6984126984126984,0.32093210380310433,1.0,0.001998001998001998,0.6712328767123288,0.5181506849315068,0.5196850393700787,73,127,predictive,ensemble,confident,0.002766464304925844,True,0.0,True
aleatoric,0.9,0.5748031496062992,-0.32519685039370083,0.428097180452414,npv,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.6712328767123288,0.5181506849315068,0.5196850393700787,73,127,predictive,ensemble,confident,1.0,False,1.0,False
aleatoric,0.9,0.5748031496062992,-0.32519685039370083,0.428097180452414,f1,0.7674418604651163,0.9702970297029703,0.20285516923785396,0.20275262006497868,0.1391393815572973,0.27383297258297257,0.09657395627082954,0.0,0.7657054074757449,0.7021276595744681,0.822429906542056,0.20459162222722538,1.0,0.001998001998001998,0.6712328767123288,0.5181506849315068,0.5196850393700787,73,127,predictive,ensemble,confident,0.002766464304925844,True,0.0,True
aleatoric,0.9,0.5748031496062992,-0.32519685039370083,0.428097180452414,brier,0.11937378773682814,0.04069207351835165,-0.07868171421847649,-0.07749570465984998,-0.10487173322400996,-0.05199859901508224,0.03811663987491781,0.0,0.11906184723033932,0.09331806214310291,0.1435873018156708,-0.07836977371198767,0.0,0.001998001998001998,0.6712328767123288,0.5181506849315068,0.5196850393700787,73,127,predictive,ensemble,confident,0.0026640026640026644,True,0.0,True
aleatoric,0.9,0.5748031496062992,-0.32519685039370083,0.428097180452414,ece,0.10580637880901651,0.07568938080986885,-0.03011699799914766,-0.049052570960944016,-0.09986657623250492,-0.002477446807177249,0.07155990681953975,0.04,0.12682910866969047,0.0837905464515294,0.16876039679404597,-0.05113972785982161,0.009,0.01998001998001998,0.6712328767123288,0.5181506849315068,0.5196850393700787,73,127,predictive,ensemble,confident,0.02997002997002997,True,0.06,False
aleatoric,0.9,0.5748031496062992,-0.32519685039370083,0.428097180452414,cal_gap,0.061115441066542986,-0.013872776435662648,-0.07498821750220563,-0.07482539952010847,-0.1304019388816312,-0.019086368778332207,0.08068993269509835,0.016,0.06168661028223292,0.01143407522483837,0.11444233258777894,-0.07555938671789557,0.0,0.001998001998001998,0.6712328767123288,0.5181506849315068,0.5196850393700787,73,127,predictive,ensemble,confident,0.01027543884686742,True,0.036000000000000004,True
aleatoric,0.9,0.5748031496062992,-0.32519685039370083,0.428097180452414,accuracy,0.6850393700787402,0.958904109589041,0.2738647395103009,0.27216787891595523,0.19606299212598427,0.3530812423667722,0.11403259134253876,0.0,0.6842191780821918,0.6164383561643836,0.7534246575342466,0.27468493150684925,1.0,0.001998001998001998,0.6712328767123288,0.5181506849315068,0.5196850393700787,73,127,predictive,ensemble,confident,0.002766464304925844,True,0.0,True
aleatoric,0.8,0.4645669291338583,-0.33543307086614177,0.332455206792666,auroc,0.9225037257824144,0.967479674796748,0.04497594901433366,0.04550006632778212,-0.01133916471622622,0.10604433057273843,0.08263115616372062,0.126,0.9235404836214012,0.8744024445150697,0.9701267748478701,0.04393919117534684,0.971,0.059940059940059943,0.6949152542372882,0.5208474576271187,0.5196850393700787,59,127,predictive,ensemble,confident,0.1027543884686742,False,0.184,False
aleatoric,0.8,0.4645669291338583,-0.33543307086614177,0.332455206792666,auprc,0.9320934422175569,0.9797162261353165,0.04762278391775965,0.04787805812712348,0.021327868655851727,0.0799153011967087,0.04468986279592726,0.0,0.9336558902457253,0.8759272235279393,0.9768894551076571,0.04606033588959124,0.984,0.03396603396603397,0.6949152542372882,0.5208474576271187,0.5196850393700787,59,127,predictive,ensemble,confident,0.0643566959356433,False,0.0,True
