scheme,domain_auroc,ess,n,ess_pct
primary (OOD-only),0.6041026964262676,35.485894079953,115,0.3085729919995913
full-feature,0.5853696297251968,38.983293911025406,115,0.3389851644436992
Mahalanobis,,87.86986810877016,115,0.7640858096414797
UNI2-only,0.5278544703909173,78.31000269161466,115,0.6809565451444752
H-optimus-only,0.6043865307702232,24.434564031235638,115,0.21247446983683163
