target_coverage,method,method_label,metric,n_retained,full,retained,d_full,random_mean,d_random,p,q,significant_q05
0.9,plain,Plain conformal,auroc,265,0.9479262672811061,0.9682693403212942,0.02034307304018812,0.9476781721717283,0.020591168149565853,0.007992007992007992,0.012280402524304965,True
0.9,plain,Plain conformal,sensitivity,265,0.8461538461538461,0.9253731343283582,0.07921928817451207,0.8459483576341127,0.07942477669424552,0.001998001998001998,0.004577240940877305,True
0.9,plain,Plain conformal,specificity,265,0.9032258064516129,0.9465648854961832,0.04333907904457035,0.9033730953810876,0.04319179011509566,0.007992007992007992,0.012280402524304965,True
0.9,plain,Plain conformal,ece,265,0.05450363905964393,0.026126084200377372,-0.028377554859266556,0.05775963211262302,-0.03163354791224565,0.001998001998001998,0.004577240940877305,True
0.9,plain,Plain conformal,cal_gap,265,-0.04626401046557865,-0.015647764063773606,0.030616246401805047,-0.04651022882054679,0.030862464756773185,0.001998001998001998,0.004577240940877305,True
0.9,plain,Plain conformal,bss,265,0.633596426619288,0.7776050738802505,0.14400864726096252,0.6324270703647351,0.14517800351551535,0.001998001998001998,0.004577240940877305,True
0.9,weighted_primary,Weighted (primary OOD-only),auroc,231,0.9479262672811061,0.9741146458583433,0.026188378577237215,0.947717722027272,0.026396923831071284,0.003996003996003996,0.006804006804006804,True
0.9,weighted_primary,Weighted (primary OOD-only),sensitivity,231,0.8461538461538461,0.9464285714285714,0.10027472527472525,0.8448834632477862,0.10154510818078522,0.001998001998001998,0.004577240940877305,True
0.9,weighted_primary,Weighted (primary OOD-only),specificity,231,0.9032258064516129,0.9663865546218487,0.06316074817023587,0.9036725882283029,0.06271396639354587,0.001998001998001998,0.004577240940877305,True
0.9,weighted_primary,Weighted (primary OOD-only),ece,231,0.05450363905964393,0.018933599190909096,-0.03557003986873483,0.059995187392956284,-0.04106158820204719,0.001998001998001998,0.004577240940877305,True
0.9,weighted_primary,Weighted (primary OOD-only),cal_gap,231,-0.04626401046557865,-0.006913015484415641,0.03935099498116301,-0.047074435438486134,0.04016141995407049,0.001998001998001998,0.004577240940877305,True
0.9,weighted_primary,Weighted (primary OOD-only),bss,231,0.633596426619288,0.8405678470909237,0.20697142047163575,0.6317623019977325,0.20880554509319116,0.001998001998001998,0.004577240940877305,True
0.9,weighted_fullfeat,Weighted (full-feature),auroc,241,0.9479262672811061,0.9733434357349499,0.025417168453843786,0.948101577985738,0.025241857749211838,0.003996003996003996,0.006804006804006804,True
0.9,weighted_fullfeat,Weighted (full-feature),sensitivity,241,0.8461538461538461,0.9411764705882353,0.09502262443438914,0.8463490367609964,0.0948274338272389,0.001998001998001998,0.004577240940877305,True
0.9,weighted_fullfeat,Weighted (full-feature),specificity,241,0.9032258064516129,0.9590163934426229,0.05579058699101003,0.9033029053280887,0.05571348811453425,0.001998001998001998,0.004577240940877305,True
0.9,weighted_fullfeat,Weighted (full-feature),ece,241,0.05450363905964393,0.020469839929875534,-0.034033799129768394,0.05934341550522615,-0.038873575575350615,0.001998001998001998,0.004577240940877305,True
0.9,weighted_fullfeat,Weighted (full-feature),cal_gap,241,-0.04626401046557865,-0.008948035630290452,0.0373159748352882,-0.04638918571380374,0.037441150083513286,0.001998001998001998,0.004577240940877305,True
0.9,weighted_fullfeat,Weighted (full-feature),bss,241,0.633596426619288,0.8216727175540428,0.18807629093475486,0.6332799012778387,0.18839281627620408,0.001998001998001998,0.004577240940877305,True
0.9,weighted_maha,Weighted (Mahalanobis),auroc,264,0.9479262672811061,0.9688342994891809,0.0209080322080748,0.9476585654050806,0.02117573408410023,0.003996003996003996,0.006804006804006804,True
0.9,weighted_maha,Weighted (Mahalanobis),sensitivity,264,0.8461538461538461,0.9323308270676691,0.08617698091382298,0.8458435658153346,0.08648726125233452,0.001998001998001998,0.004577240940877305,True
0.9,weighted_maha,Weighted (Mahalanobis),specificity,264,0.9032258064516129,0.9465648854961832,0.04333907904457035,0.9026674556489177,0.04389742984726552,0.007992007992007992,0.012280402524304965,True
0.9,weighted_maha,Weighted (Mahalanobis),ece,264,0.05450363905964393,0.023122243648106076,-0.03138139541153785,0.05791242679206326,-0.03479018314395718,0.001998001998001998,0.004577240940877305,True
0.9,weighted_maha,Weighted (Mahalanobis),cal_gap,264,-0.04626401046557865,-0.01260423290492424,0.033659777560654414,-0.04620490035467914,0.0336006674497549,0.001998001998001998,0.004577240940877305,True
0.9,weighted_maha,Weighted (Mahalanobis),bss,264,0.633596426619288,0.7869455712460474,0.15334914462675941,0.6322985034058626,0.15464706784018478,0.001998001998001998,0.004577240940877305,True
0.9,weighted_siteholdout,Weighted (site-holdout),auroc,241,0.9479262672811061,0.9733434357349499,0.025417168453843786,0.9481926962486128,0.02515073948633706,0.001998001998001998,0.004577240940877305,True
