target_coverage,method,method_label,risk_full,n_retained,risk_retained,risk_retained_ci_lo,risk_retained_ci_hi,risk_reduction_vs_no_conformal,n_both,risk_both,risk_both_ci_lo,risk_both_ci_hi,n_empty,risk_empty,risk_empty_ci_lo,risk_empty_ci_hi,defer_rate
0.9,plain,Plain conformal,0.12759643916913946,265,0.06415094339622641,0.03773584905660377,0.09433962264150944,1.989003316460115,72,0.3611111111111111,0.25,0.4722222222222222,0,,,,0.21364985163204747
0.9,weighted_primary,Weighted (primary OOD-only),0.12759643916913946,231,0.04329004329004329,0.021645021645021644,0.06937229437229378,2.9474777448071214,106,0.3113207547169811,0.22641509433962265,0.4056603773584906,0,,,,0.314540059347181
0.9,weighted_fullfeat,Weighted (full-feature),0.12759643916913946,241,0.04979253112033195,0.024896265560165973,0.07883817427385892,2.5625618199802176,96,0.3229166666666667,0.22916666666666666,0.4166666666666667,0,,,,0.28486646884273
0.9,weighted_maha,Weighted (Mahalanobis),0.12759643916913946,264,0.06060606060606061,0.03409090909090909,0.09090909090909091,2.105341246290801,73,0.3698630136986301,0.2602739726027397,0.4794520547945205,0,,,,0.2166172106824926
0.9,weighted_siteholdout,Weighted (site-holdout),0.12759643916913946,241,0.04979253112033195,0.024896265560165973,0.07883817427385892,2.5625618199802176,96,0.3229166666666667,0.22916666666666666,0.4166666666666667,0,,,,0.28486646884273
0.9,weighted_uni2only,Weighted (UNI2-only),0.12759643916913946,268,0.0708955223880597,0.041044776119402986,0.10074626865671642,1.7997813524910198,69,0.34782608695652173,0.2463768115942029,0.463768115942029,0,,,,0.20474777448071216
0.9,weighted_hoptimusonly,Weighted (H-optimus-only),0.12759643916913946,238,0.05042016806722689,0.025210084033613446,0.07983193277310924,2.5306627101879324,99,0.31313131313131315,0.2222222222222222,0.40404040404040403,0,,,,0.29376854599406527
0.8,plain,Plain conformal,0.12759643916913946,328,0.11890243902439024,0.08841463414634146,0.1524390243902439,1.0731187704481473,0,,,,9,0.4444444444444444,0.1111111111111111,0.7777777777777778,0.026706231454005934
0.8,weighted_primary,Weighted (primary OOD-only),0.12759643916913946,287,0.07665505226480836,0.04878048780487805,0.11149825783972125,1.6645535473428648,50,0.42,0.28,0.56,0,,,,0.14836795252225518
0.8,weighted_fullfeat,Weighted (full-feature),0.12759643916913946,298,0.08389261744966443,0.053691275167785234,0.11409395973154363,1.5209495548961423,39,0.46153846153846156,0.3076923076923077,0.6153846153846154,0,,,,0.11572700296735905
0.8,weighted_maha,Weighted (Mahalanobis),0.12759643916913946,322,0.11180124223602485,0.08074534161490683,0.14906832298136646,1.1412792614573029,15,0.4666666666666667,0.26666666666666666,0.7333333333333333,0,,,,0.04451038575667656
0.8,weighted_siteholdout,Weighted (site-holdout),0.12759643916913946,299,0.0903010033444816,0.06020066889632107,0.12374581939799331,1.4130124189471371,38,0.42105263157894735,0.2631578947368421,0.5789473684210527,0,,,,0.11275964391691394
0.8,weighted_uni2only,Weighted (UNI2-only),0.12759643916913946,326,0.1165644171779141,0.08282208588957055,0.15030674846625766,1.094643136029986,0,,,,11,0.45454545454545453,0.18181818181818182,0.7272727272727273,0.032640949554896145
0.8,weighted_hoptimusonly,Weighted (H-optimus-only),0.12759643916913946,271,0.07011070110701106,0.04059040590405904,0.1033210332103321,1.8199281586756209,66,0.36363636363636365,0.25757575757575757,0.4696969696969697,0,,,,0.19584569732937684
0.7,plain,Plain conformal,0.12759643916913946,288,0.0763888888888889,0.04861111111111111,0.1076388888888889,1.6703533854869164,0,,,,49,0.42857142857142855,0.2857142857142857,0.5714285714285714,0.14540059347181009
0.7,weighted_primary,Weighted (primary OOD-only),0.12759643916913946,328,0.11890243902439024,0.08536585365853659,0.15548780487804878,1.0731187704481473,3,0.3333333333333333,0.0,1.0,6,0.5,0.16666666666666666,0.8333333333333334,0.026706231454005934
0.7,weighted_fullfeat,Weighted (full-feature),0.12759643916913946,328,0.11890243902439024,0.08536585365853659,0.15548780487804878,1.0731187704481473,2,0.0,0.0,0.0,7,0.5714285714285714,0.14285714285714285,0.8571428571428571,0.026706231454005934
0.7,weighted_maha,Weighted (Mahalanobis),0.12759643916913946,295,0.08135593220338982,0.05084745762711865,0.11186440677966102,1.5683728981206726,0,,,,42,0.4523809523809524,0.30952380952380953,0.5952380952380952,0.12462908011869436
0.7,weighted_siteholdout,Weighted (site-holdout),0.12759643916913946,317,0.10410094637223975,0.07255520504731862,0.138801261829653,1.225699127776279,0,,,,20,0.5,0.3,0.7,0.05934718100890208
0.7,weighted_uni2only,Weighted (UNI2-only),0.12759643916913946,250,0.056,0.028,0.088,2.2785078423060616,0,,,,87,0.3333333333333333,0.22988505747126436,0.4367816091954023,0.258160237388724
0.7,weighted_hoptimusonly,Weighted (H-optimus-only),0.12759643916913946,323,0.11455108359133127,0.0804953560371517,0.15170278637770898,1.1138824284224877,14,0.42857142857142855,0.21250000000000008,0.7142857142857143,0,,,,0.04154302670623145
