site,n,plain,primary,hoptimus_only
Henry Ford Hospital,89,0.7865168539325843,0.9101123595505618,0.9325842696629213
Case Western - St Joes,52,0.7884615384615384,0.8846153846153846,0.8846153846153846
Duke,27,0.8148148148148148,0.9259259259259259,0.9629629629629629
MD Anderson Cancer Center,22,0.9090909090909091,0.9090909090909091,0.9090909090909091
Dept of Neurosurgery at University of Heidelberg,21,0.9047619047619048,1.0,1.0
Mayo Clinic - Rochester,18,1.0,1.0,1.0
