target_coverage,method,coverage,ci_lo,ci_hi,delta_vs_plain,delta_ci_lo,delta_ci_hi,p,method_label
0.9,plain,0.9495548961424333,0.9228486646884273,0.9703264094955489,,,,,Plain conformal
0.9,weighted_primary,0.9703264094955489,0.9525222551928784,0.9851632047477745,0.020771513353115667,0.005934718100890299,0.03568249258160198,0.0009995002498750624,Weighted (primary OOD-only)
0.9,weighted_fullfeat,0.9643916913946587,0.9436201780415431,0.9821958456973294,0.014836795252225476,0.0029673590504450953,0.029673590504451064,0.013993003498250875,Weighted (full-feature)
0.9,weighted_maha,0.9525222551928784,0.9287833827893175,0.9762611275964391,0.0029673590504450953,0.0,0.008902077151335397,0.7226386806596702,Weighted (Mahalanobis)
0.9,weighted_siteholdout,0.9643916913946587,0.9436201780415431,0.9821958456973294,0.014836795252225476,0.0029673590504450953,0.029673590504450953,0.012993503248375811,Weighted (site-holdout)
0.9,weighted_uni2only,0.9436201780415431,0.9169139465875371,0.9673590504451038,-0.005934718100890191,-0.014836795252225587,0.0,0.26786606696651677,Weighted (UNI2-only)
0.9,weighted_hoptimusonly,0.9643916913946587,0.9436201780415431,0.9821958456973294,0.014836795252225476,0.0029673590504450953,0.029673590504451064,0.01199400299850075,Weighted (H-optimus-only)
0.8,plain,0.857566765578635,0.8189910979228486,0.8931750741839762,,,,,Plain conformal
0.8,weighted_primary,0.9347181008902077,0.9080118694362018,0.9614243323442137,0.0771513353115727,0.05044510385756673,0.10682492581602376,0.0009995002498750624,Weighted (primary OOD-only)
0.8,weighted_fullfeat,0.9258160237388724,0.8961424332344213,0.9525222551928784,0.06824925816023741,0.041543026706231445,0.09495548961424338,0.0009995002498750624,Weighted (full-feature)
0.8,weighted_maha,0.8931750741839762,0.8605341246290801,0.9258160237388724,0.035608308605341255,0.017804154302670572,0.05637982195845703,0.0009995002498750624,Weighted (Mahalanobis)
0.8,weighted_siteholdout,0.9198813056379822,0.89013353115727,0.9495548961424333,0.06231454005934722,0.03857566765578635,0.08902077151335308,0.0009995002498750624,Weighted (site-holdout)
0.8,weighted_uni2only,0.8545994065281899,0.8160237388724035,0.8931750741839762,-0.0029673590504450953,-0.008902077151335397,0.0,0.7556221889055472,Weighted (UNI2-only)
0.8,weighted_hoptimusonly,0.9436201780415431,0.9169139465875371,0.9673590504451038,0.0860534124629081,0.05934718100890202,0.11580118694361977,0.0009995002498750624,Weighted (H-optimus-only)
0.7,plain,0.7893175074183977,0.7477744807121661,0.8338278931750742,,,,,Plain conformal
0.7,weighted_primary,0.8664688427299704,0.827893175074184,0.9020771513353115,0.0771513353115727,0.047477744807121636,0.10682492581602376,0.0009995002498750624,Weighted (primary OOD-only)
0.7,weighted_fullfeat,0.8635014836795252,0.8249258160237388,0.8991097922848664,0.0741839762611275,0.047477744807121636,0.10385756676557867,0.0009995002498750624,Weighted (full-feature)
0.7,weighted_maha,0.8041543026706232,0.7596439169139466,0.8456973293768546,0.014836795252225476,0.0029673590504450953,0.029673590504450953,0.017991004497751123,Weighted (Mahalanobis)
0.7,weighted_siteholdout,0.8427299703264095,0.8041543026706232,0.8813056379821959,0.053412462908011826,0.03264094955489605,0.07722551928783342,0.0009995002498750624,Weighted (site-holdout)
0.7,weighted_uni2only,0.7002967359050445,0.6498516320474778,0.7477744807121661,-0.08902077151335319,-0.12166172106824924,-0.06231454005934711,0.0009995002498750624,Weighted (UNI2-only)
0.7,weighted_hoptimusonly,0.8902077151335311,0.8545994065281899,0.9228486646884273,0.10089020771513346,0.07121661721068251,0.13353115727002962,0.0009995002498750624,Weighted (H-optimus-only)
