target_coverage,method,metric,n_retained_plain,n_retained_method,plain_retained,method_retained,delta,ci_lo,ci_hi,p,q,sig
0.9,weighted_primary,auroc,265,231,0.9682693403212942,0.9741146458583433,0.005845305537049095,0.0004148990948438347,0.01205033110572465,0.03398300849575212,0.07058009456810056,False
0.9,weighted_primary,sensitivity,265,231,0.9253731343283582,0.9464285714285714,0.02105543710021318,-0.00371767834219697,0.0522357198476243,0.1199400299850075,0.1992849728981663,False
0.9,weighted_primary,specificity,265,231,0.9465648854961832,0.9663865546218487,0.01982166912566552,-0.002100862413061055,0.04787803254686421,0.10494752623688156,0.17709895052473762,False
0.9,weighted_primary,ece,265,231,0.026126084200377372,0.018933599190909096,-0.007192485009468275,-0.024269352588046612,0.004172793505076725,0.1969015492253873,0.2913064015937237,False
0.9,weighted_primary,cal_gap,265,231,-0.015647764063773606,-0.006913015484415641,0.008734748579357965,-0.009281034032142069,0.02650239005688208,0.33683158420789605,0.41813575970635375,False
0.9,weighted_primary,bss,265,231,0.7776050738802505,0.8405678470909237,0.06296277321067323,0.01951448090082735,0.11372216756397265,0.001999000499750125,0.008995502248875561,True
0.9,weighted_fullfeat,auroc,265,241,0.9682693403212942,0.9733434357349499,0.005074095413655666,0.0010013796834538486,0.010692007103895848,0.014992503748125937,0.04047976011994003,True
0.9,weighted_fullfeat,sensitivity,265,241,0.9253731343283582,0.9411764705882353,0.015803336259877065,-0.0050513698630136215,0.04540801535222932,0.16391804097951024,0.2529021203683872,False
0.9,weighted_fullfeat,specificity,265,241,0.9465648854961832,0.9590163934426229,0.012451507946439677,-0.003235996846291017,0.0357063911213164,0.27386306846576713,0.35895305359368507,False
0.9,weighted_fullfeat,ece,265,241,0.026126084200377372,0.020469839929875534,-0.0056562442705018375,-0.021321673977710606,0.0019118685165134144,0.12293853073463268,0.2011721412021262,False
0.9,weighted_fullfeat,cal_gap,265,241,-0.015647764063773606,-0.008948035630290452,0.006699728433483154,-0.007748467571771244,0.02168675905121415,0.39480259870064965,0.4790862995468558,False
0.9,weighted_fullfeat,bss,265,241,0.7776050738802505,0.8216727175540428,0.044067643673792345,0.009631492233452022,0.0882227417428324,0.0069965017491254375,0.026055937548467144,True
0.9,weighted_maha,auroc,265,264,0.9682693403212942,0.9688342994891809,0.0005649591678866805,0.0,0.0021467883056471675,0.7576211894052973,0.8286765708055063,False
0.9,weighted_maha,sensitivity,265,264,0.9253731343283582,0.9323308270676691,0.006957692739310906,0.0,0.0229371668359386,0.7556221889055472,0.8286765708055063,False
0.9,weighted_maha,specificity,265,264,0.9465648854961832,0.9465648854961832,0.0,0.0,0.0,1.0,1.0,False
0.9,weighted_maha,ece,265,264,0.026126084200377372,0.023122243648106076,-0.0030038405522712953,-0.009009969639541962,0.005631797971286414,1.0,1.0,False
0.9,weighted_maha,cal_gap,265,264,-0.015647764063773606,-0.01260423290492424,0.0030435311588493663,0.0,0.009524526547289178,0.7556221889055472,0.8286765708055063,False
0.9,weighted_maha,bss,265,264,0.7776050738802505,0.7869455712460474,0.009340497365796896,0.0,0.02946113663497973,0.7556221889055472,0.8286765708055063,False
0.9,weighted_siteholdout,auroc,265,241,0.9682693403212942,0.9733434357349499,0.005074095413655666,0.0008759563483859478,0.010511267989682846,0.013993003498250875,0.03874985584131011,True
0.9,weighted_siteholdout,sensitivity,265,241,0.9253731343283582,0.9411764705882353,0.015803336259877065,-0.0054057597610085995,0.042546685197749935,0.18290854572713644,0.27822708364127796,False
0.9,weighted_siteholdout,specificity,265,241,0.9465648854961832,0.9590163934426229,0.012451507946439677,-0.002954597321852592,0.03505349099099092,0.25987006496751625,0.35895305359368507,False
0.9,weighted_siteholdout,ece,265,241,0.026126084200377372,0.020469839929875534,-0.0056562442705018375,-0.020756098241218563,0.0020335820087446616,0.13093453273363317,0.20954228767968958,False
0.9,weighted_siteholdout,cal_gap,265,241,-0.015647764063773606,-0.008948035630290452,0.006699728433483154,-0.008012490818324938,0.0226365561243476,0.38980509745127434,0.4783971650538367,False
0.9,weighted_siteholdout,bss,265,241,0.7776050738802505,0.8216727175540428,0.044067643673792345,0.01008718157584593,0.08803093512298972,0.00399800099950025,0.015992003998001,True
0.9,weighted_uni2only,auroc,265,268,0.9682693403212942,0.9677940602886276,-0.000475280032666614,-0.0017153890183468884,0.00021495065343104332,0.27386306846576713,0.35895305359368507,False
0.9,weighted_uni2only,sensitivity,265,268,0.9253731343283582,0.9124087591240876,-0.012964375204270628,-0.03434947806052774,0.001157746626082974,0.27586206896551724,0.35895305359368507,False
0.9,weighted_uni2only,specificity,265,268,0.9465648854961832,0.9465648854961832,0.0,0.0,0.0,1.0,1.0,False
0.9,weighted_uni2only,ece,265,268,0.026126084200377372,0.032332591205597026,0.0062065070052196546,-0.002171362599972154,0.013672518248729339,0.272863568215892,0.35895305359368507,False
0.9,weighted_uni2only,cal_gap,265,268,-0.015647764063773606,-0.021971565697388062,-0.0063238016336144565,-0.015190361385329147,0.0,0.09295352323838081,0.16457345097942833,False
0.9,weighted_uni2only,bss,265,268,0.7776050738802505,0.7623838243181076,-0.01522124956214288,-0.03883308116614762,6.25489706550238e-05,0.1539230384807596,0.24092301675249334,False
0.9,weighted_hoptimusonly,auroc,265,238,0.9682693403212942,0.9731581549763368,0.00488881465504265,0.000554200434917379,0.010418591804924923,0.025987006496751622,0.05847076461769115,False
0.9,weighted_hoptimusonly,sensitivity,265,238,0.9253731343283582,0.9401709401709402,0.014797805842581946,-0.00654571678321676,0.04070579503619175,0.20889555222388806,0.3008095952023988,False
0.9,weighted_hoptimusonly,specificity,265,238,0.9465648854961832,0.9586776859504132,0.012112800454230022,-0.0037098975130241073,0.03443506248653304,0.2638680659670165,0.35895305359368507,False
0.9,weighted_hoptimusonly,ece,265,238,0.026126084200377372,0.020930555727310934,-0.005195528473066438,-0.020115154227206593,0.0033847686170347265,0.2028985507246377,0.29612220916568743,False
0.9,weighted_hoptimusonly,cal_gap,265,238,-0.015647764063773606,-0.009132063978571359,0.006515700085202247,-0.008071254030164765,0.021510864948836122,0.4077961019490255,0.4893553223388306,False
0.9,weighted_hoptimusonly,bss,265,238,0.7776050738802505,0.8199832298552321,0.042378155974981624,0.007114243265708343,0.08329279355194856,0.0079960019990005,0.028785607196401795,True
0.8,weighted_primary,auroc,328,287,0.9518838627605044,0.9633304153292481,0.011446552568743718,0.005034005993879672,0.0192068384895226,0.0009995002498750624,0.005140286999357464,True
0.8,weighted_primary,sensitivity,328,287,0.8531073446327684,0.9060402684563759,0.05293292382360748,0.019976588847443976,0.08899896129914085,0.0009995002498750624,0.005140286999357464,True
0.8,weighted_primary,specificity,328,287,0.9139072847682119,0.9420289855072463,0.028121700739034416,0.003336594911937446,0.0574064727758675,0.015992003998001,0.04112229599485971,True
0.8,weighted_primary,ece,328,287,0.054347512966768305,0.0365035487216028,-0.017843964245165503,-0.034596090534126295,-0.002446673357309879,0.026986506746626688,0.0594804638497078,False
0.8,weighted_primary,cal_gap,328,287,-0.045881797002743974,-0.026828444762717785,0.01905335224002619,0.001441929431170086,0.037062935878384766,0.038980509745127435,0.07796101949025486,False
0.8,weighted_primary,bss,328,287,0.6518117850976539,0.7389511890522299,0.08713940395457598,0.05584142583127374,0.12195087171208376,0.0009995002498750624,0.005140286999357464,True
0.8,weighted_fullfeat,auroc,328,298,0.9518838627605044,0.9609703211817321,0.009086458421227683,0.003931104053124551,0.015360531847310576,0.0009995002498750624,0.005140286999357464,True
0.8,weighted_fullfeat,sensitivity,328,298,0.8531073446327684,0.8980891719745223,0.04498182734175393,0.01685985098035006,0.0778484497314605,0.0009995002498750624,0.005140286999357464,True
0.8,weighted_fullfeat,specificity,328,298,0.9139072847682119,0.9361702127659575,0.02226292799774554,0.0014471143456650988,0.04795158808553487,0.03798100949525238,0.07739526463183503,False
0.8,weighted_fullfeat,ece,328,298,0.054347512966768305,0.041747629372818805,-0.0125998835939495,-0.028971665091918584,-0.0017522372172110363,0.02798600699650175,0.06044977511244378,False
0.8,weighted_fullfeat,cal_gap,328,298,-0.045881797002743974,-0.03242966012382542,0.013452136878918552,-0.002514299132809017,0.029357137098110168,0.10094952523738131,0.17305632897836795,False
0.8,weighted_fullfeat,bss,328,298,0.6518117850976539,0.7192990203828848,0.06748723528523093,0.040990464714849864,0.0969180548860957,0.0009995002498750624,0.005140286999357464,True
0.8,weighted_maha,auroc,328,322,0.9518838627605044,0.954488971730351,0.002605108969846559,0.0003571991542557274,0.005795527993842404,0.01199400299850075,0.03500952226589408,True
0.8,weighted_maha,sensitivity,328,322,0.8531073446327684,0.8563218390804598,0.003214494447691396,-0.0034696251189759776,0.01427316833761812,0.7766116941529235,0.8304362670150074,False
0.8,weighted_maha,specificity,328,322,0.9139072847682119,0.9256756756756757,0.011768390907463733,-0.0009212708033815825,0.03217853424489686,0.271864067966017,0.35895305359368507,False
0.8,weighted_maha,ece,328,322,0.054347512966768305,0.05561067997857144,0.0012631670118031374,-0.006693225434965807,0.005620009791659232,0.9545227386306847,0.9912351516549418,False
0.8,weighted_maha,cal_gap,328,322,-0.045881797002743974,-0.04698721775434783,-0.0011054207516038583,-0.008998277168160913,0.006159414377858598,0.7716141929035483,0.8304362670150074,False
0.8,weighted_maha,bss,328,322,0.6518117850976539,0.6643696789254073,0.012557893827753408,0.0030095546934889,0.025068294872244958,0.008995502248875561,0.029439825541774562,True
0.8,weighted_siteholdout,auroc,328,299,0.9518838627605044,0.9608133584702396,0.008929495709735225,0.0038690751822511834,0.01536295575665374,0.001999000499750125,0.008995502248875561,True
0.8,weighted_siteholdout,sensitivity,328,299,0.8531073446327684,0.8860759493670886,0.03296860473432017,0.006592296136783887,0.06294148336920682,0.008995502248875561,0.029439825541774562,True
0.8,weighted_siteholdout,specificity,328,299,0.9139072847682119,0.9361702127659575,0.02226292799774554,0.002208602275316282,0.05007136373067749,0.029985007496251874,0.06349766293323926,False
0.8,weighted_siteholdout,ece,328,299,0.054347512966768305,0.044739479441806035,-0.00960803352496227,-0.026590141133853093,0.0013335983268822783,0.07596201899050475,0.13673163418290857,False
0.8,weighted_siteholdout,cal_gap,328,299,-0.045881797002743974,-0.035452673969565196,0.010429123033178778,-0.005273196422889132,0.026585840444683397,0.1969015492253873,0.2913064015937237,False
0.8,weighted_siteholdout,bss,328,299,0.6518117850976539,0.7106915801274593,0.05887979502980534,0.03533108073629957,0.08518799613618921,0.0009995002498750624,0.005140286999357464,True
0.8,weighted_uni2only,auroc,328,326,0.9518838627605044,0.9527651515151515,0.0008812887546471027,0.0,0.0026220780318076888,0.2938530734632684,0.3690247899306161,False
0.8,weighted_uni2only,sensitivity,328,326,0.8531073446327684,0.8522727272727273,-0.00083461736004109,-0.0028490079385376592,0.0,0.7596201899050474,0.8286765708055063,False
0.8,weighted_uni2only,specificity,328,326,0.9139072847682119,0.92,0.006092715231788115,0.0,0.01885117289711664,0.7416291854072964,0.8286765708055063,False
0.8,weighted_uni2only,ece,328,326,0.054347512966768305,0.05496801405858896,0.0006205010918206577,-0.0036450399272193877,0.0037423262374337908,1.0,1.0,False
0.8,weighted_uni2only,cal_gap,328,326,-0.045881797002743974,-0.046450361186809785,-0.0005685641840658118,-0.005413825293536944,0.003723210791909728,0.9445277361319341,0.9903785971092124,False
0.8,weighted_uni2only,bss,328,326,0.6518117850976539,0.655905555363945,0.004093770266291097,0.0,0.010520631049395695,0.28385807096451776,0.36066672546079903,False
0.8,weighted_hoptimusonly,auroc,328,271,0.9518838627605044,0.9669826740764956,0.015098811315991223,0.0066476916738144685,0.02421916008696056,0.0009995002498750624,0.005140286999357464,True
0.8,weighted_hoptimusonly,sensitivity,328,271,0.8531073446327684,0.9130434782608695,0.05993613362810113,0.02252477291494625,0.10141043161843945,0.0009995002498750624,0.005140286999357464,True
0.8,weighted_hoptimusonly,specificity,328,271,0.9139072847682119,0.9473684210526315,0.0334611362844196,0.006409472880061055,0.06606943086178288,0.010994502748625687,0.03392589419575926,True
0.8,weighted_hoptimusonly,ece,328,271,0.054347512966768305,0.031085355804797057,-0.023262157161971247,-0.045121285473044476,-0.006148805166263885,0.0069965017491254375,0.026055937548467144,True
0.8,weighted_hoptimusonly,cal_gap,328,271,-0.045881797002743974,-0.020839027995941006,0.025042769006802967,0.004110830368823097,0.047619656443859855,0.017991004497751123,0.0422397496903722,True
0.8,weighted_hoptimusonly,bss,328,271,0.6518117850976539,0.7623671187719934,0.11055533367433945,0.07379608084946213,0.15296057368248342,0.0009995002498750624,0.005140286999357464,True
0.7,weighted_primary,auroc,288,328,0.9632367149758455,0.9518838627605044,-0.011352852215341103,-0.019127474032184403,-0.005132444312611607,0.0009995002498750624,0.005140286999357464,True
0.7,weighted_primary,sensitivity,288,328,0.9066666666666666,0.8531073446327684,-0.05355932203389824,-0.08934589299022419,-0.021011469366276205,0.0009995002498750624,0.005140286999357464,True
0.7,weighted_primary,specificity,288,328,0.9420289855072463,0.9139072847682119,-0.028121700739034416,-0.05881081657077588,-0.003498750649829815,0.01899050474762619,0.04363775559028997,True
0.7,weighted_primary,ece,288,328,0.03734842511493057,0.054347512966768305,0.016999087851837735,0.0035746647943596557,0.03508280198101365,0.012993503248375811,0.036928903969068096,True
0.7,weighted_primary,cal_gap,288,328,-0.027706915267013965,-0.045881797002743974,-0.01817488173573001,-0.036924497779939044,5.225473736852694e-05,0.051974012993503245,0.09677919660859224,False
0.7,weighted_primary,bss,288,328,0.7391711193770856,0.6518117850976539,-0.08735933427943166,-0.1217983659985854,-0.056492636187959896,0.0009995002498750624,0.005140286999357464,True
0.7,weighted_fullfeat,auroc,288,328,0.9632367149758455,0.9518838627605044,-0.011352852215341103,-0.019135843133699693,-0.0049041521981285285,0.0009995002498750624,0.005140286999357464,True
0.7,weighted_fullfeat,sensitivity,288,328,0.9066666666666666,0.8531073446327684,-0.05355932203389824,-0.09083190520800521,-0.021679532297975472,0.0009995002498750624,0.005140286999357464,True
0.7,weighted_fullfeat,specificity,288,328,0.9420289855072463,0.9139072847682119,-0.028121700739034416,-0.05858295069311624,-0.004072118691852461,0.01199400299850075,0.03500952226589408,True
0.7,weighted_fullfeat,ece,288,328,0.03734842511493057,0.054347512966768305,0.016999087851837735,0.003045796662786372,0.036337881775890396,0.01699150424787606,0.0422397496903722,True
0.7,weighted_fullfeat,cal_gap,288,328,-0.027706915267013965,-0.045881797002743974,-0.01817488173573001,-0.03659646392601632,-0.00046316430507076386,0.047976011994003,0.09090191746232146,False
0.7,weighted_fullfeat,bss,288,328,0.7391711193770856,0.6518117850976539,-0.08735933427943166,-0.12419793982392331,-0.05590508968060029,0.0009995002498750624,0.005140286999357464,True
0.7,weighted_maha,auroc,288,295,0.9632367149758455,0.9614534401768444,-0.0017832747990010889,-0.003981445963900795,-0.0002562008187198457,0.017991004497751123,0.0422397496903722,True
0.7,weighted_maha,sensitivity,288,295,0.9066666666666666,0.9025974025974026,-0.004069264069264,-0.017830581461743426,0.003811057074990417,0.7396301849075462,0.8286765708055063,False
0.7,weighted_maha,specificity,288,295,0.9420289855072463,0.9361702127659575,-0.005858772741288876,-0.02094081277081988,0.002106168743046271,0.7326336831584208,0.8286765708055063,False
0.7,weighted_maha,ece,288,295,0.03734842511493057,0.03760146153593222,0.00025303642100164836,-0.005055945072975305,0.008366867267032814,0.7176411794102948,0.8286765708055063,False
0.7,weighted_maha,cal_gap,288,295,-0.027706915267013965,-0.028188733277627165,-0.00048181801061319973,-0.008509365517620085,0.007022657510585833,0.9115442278860569,0.9651644765852367,False
0.7,weighted_maha,bss,288,295,0.7391711193770856,0.7257206812574899,-0.013450438119595676,-0.02978269166002194,-0.001821460833748319,0.00399800099950025,0.015992003998001,True
0.7,weighted_siteholdout,auroc,288,317,0.9632367149758455,0.95578231292517,-0.0074544020506754904,-0.013128950393245232,-0.0027074218403620905,0.0029985007496251873,0.012953523238380808,True
0.7,weighted_siteholdout,sensitivity,288,317,0.9066666666666666,0.8647058823529412,-0.04196078431372541,-0.07719172168497083,-0.013050097750576235,0.001999000499750125,0.008995502248875561,True
0.7,weighted_siteholdout,specificity,288,317,0.9420289855072463,0.9319727891156463,-0.010056196391600047,-0.031664240872264604,0.0039499977280450975,0.2798600699650175,0.3598200899550225,False
0.7,weighted_siteholdout,ece,288,317,0.03734842511493057,0.05212384455236595,0.014775419437435378,0.00046068674740062194,0.028864771233124153,0.04397801099450275,0.0863568215892054,False
0.7,weighted_siteholdout,cal_gap,288,317,-0.027706915267013965,-0.043364365573816954,-0.01565745030680299,-0.030958193590767073,-0.0008761681649853352,0.04597701149425287,0.08866995073891626,False
0.7,weighted_siteholdout,bss,288,317,0.7391711193770856,0.6766242194172618,-0.06254689995982377,-0.09507765807923103,-0.03473525127381447,0.0009995002498750624,0.005140286999357464,True
0.7,weighted_uni2only,auroc,288,250,0.9632367149758455,0.971384674476666,0.008147959500820479,0.0020138043850868484,0.016344590098319112,0.010994502748625687,0.03392589419575926,True
0.7,weighted_uni2only,sensitivity,288,250,0.9066666666666666,0.9349593495934959,0.028292682926829293,-0.0003220705650448935,0.06131034291501056,0.054972513743128434,0.10062765227555714,False
