target_coverage,eval_set,n,n_retained_locked,n_retained_recal,auroc_locked,auroc_recal,auroc_increase
0.9,full_held_out,102,100,82,0.8701923076923077,0.9053571428571429,0.03516483516483515
0.9,level_a_only,94,92,78,0.9256628787878788,0.9384920634920635,0.012829184704184704
0.8,full_held_out,102,98,67,0.8819357530246141,0.9351351351351351,0.053199382110521
0.8,level_a_only,94,91,64,0.9255319148936171,0.94994994994995,0.024418035056332887
0.7,full_held_out,102,95,60,0.8789893617021277,0.9389140271493213,0.05992466544719355
0.7,level_a_only,94,88,58,0.9252724442138038,0.9558823529411764,0.03060990872737257
