signal,mean_mutant,mean_wildtype,diff,p
uni2_vs_conch,0.14525091755900618,0.06240670324968554,0.08284421430932065,2.1896815381714952e-08
uni2_vs_hoptimus,0.11635102966832297,0.04815915844654088,0.0681918712217821,3.353368500132e-10
conch_vs_hoptimus,0.16763518337639752,0.06688576846226413,0.10074941491413339,9.383321119035799e-10
