level,n,n_mutant,n_wildtype,mutant_entropy,wildtype_entropy,gap
overall,320,161,159,0.42477116683183724,0.2412081768915305,0.18356298994030673
20-39,104,82,22,0.44136333742826966,0.29945585687865345,0.14190748054961622
40-54,120,58,62,0.43770092319900084,0.2332637844476435,0.20443713875135733
55-69,82,16,66,0.2973436199558346,0.22692654207291255,0.07041707788292204
70+,11,4,7,0.358727543324055,0.20182962077112293,0.15689792255293206
