predictor,family,signal,target_coverage,axis,level,n,realised_coverage,retained_prev,n_retained,metric,full,retained,d_full,d_full_lo,d_full_hi,d_full_p,d_full_mde,d_random,mde,p_raw,q_fdr,sig_fdr,q_fdr_full,sig_fdr_full
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,sex,female,134,0.8059701492537313,0.3888888888888889,108,auroc,0.9209821428571429,0.9126984126984127,-0.008283730158730185,-0.03053865685653588,0.013072362091281297,0.48,0.031484088090435985,-0.008585747886265982,0.0365949656337694,0.5814185814185814,0.957437977495284,False,0.8133333333333332,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,sex,female,134,0.8059701492537313,0.3888888888888889,108,auprc,0.8960207974664331,0.870751669467235,-0.025269127999198115,-0.06351298181673028,0.006870341613156555,0.156,0.05143144840682628,-0.026537702899733562,0.06590632985755321,0.13986013986013987,0.3967814363853968,False,0.44457392716099187,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,sex,female,134,0.8059701492537313,0.3888888888888889,108,bss,0.5607928933786454,0.6173918188216767,0.056598925443031356,-0.002206294471243794,0.1270460563442806,0.066,0.09306634921564719,0.05583235029267719,0.11227411954603822,0.1918081918081918,0.42332667332667334,False,0.17184331797235022,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,sex,female,134,0.8059701492537313,0.3888888888888889,108,balanced_accuracy,0.7676339285714286,0.8777056277056277,0.11007169913419901,0.06051182767761294,0.16600397247985568,0.0,0.07477387091814695,0.10956755346661184,0.04573955844958654,0.001998001998001998,0.02822177822177822,True,0.0,True
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,sex,female,134,0.8059701492537313,0.3888888888888889,108,sensitivity,0.578125,0.7857142857142857,0.2075892857142857,0.11679226360772764,0.31738763824613697,0.0,0.1453224905555303,0.20635714175019015,0.08559973096923966,0.001998001998001998,0.01660104601281072,True,0.0,True
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,sex,female,134,0.8059701492537313,0.3888888888888889,108,specificity,0.9571428571428572,0.9696969696969697,0.01255411255411254,-0.0032293991042744025,0.04259316770186344,0.738,0.03834932083653224,0.012777965183033646,0.033886538649116324,0.2017982017982018,0.4359128416067918,False,1.0,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,sex,female,134,0.8059701492537313,0.3888888888888889,108,brier,0.10958163497792764,0.09092848750225585,-0.01865314747567179,-0.03492903715738422,-0.005469850016306075,0.004,0.021164708118560853,-0.018288809497274086,0.028256243256205772,0.0939060939060939,0.2663598084158832,False,0.01882170542635659,True
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,sex,female,134,0.8059701492537313,0.3888888888888889,108,ece,0.10994090293464598,0.07586508186499553,-0.034075821069650444,-0.06368472580326932,-0.008018097150293974,0.014,0.04071794976665585,-0.03629087777143285,0.03628108230721873,0.003996003996003996,0.014352511393931512,True,0.044581309215289217,True
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,sex,female,134,0.8059701492537313,0.3888888888888889,108,cal_gap,-0.09365096908590909,-0.05565349727489605,0.03799747181101304,0.005580663287364361,0.0705195462531888,0.026,0.04561471768174086,0.03740538291748112,0.037688735592646336,0.00999000999000999,0.036310994394826726,True,0.08011167512690355,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,sex,female,134,0.8059701492537313,0.3888888888888889,108,accuracy,0.7761194029850746,0.8981481481481481,0.1220287451630735,0.06989508429512363,0.18091229419910757,0.0,0.07983427417552202,0.12157376201609404,0.048483304129567494,0.001998001998001998,0.012633200133200134,True,0.0,True
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,sex,female,134,0.8059701492537313,0.3888888888888889,108,ppv,0.925,0.9428571428571428,0.017857142857142794,-0.012543165646613879,0.07109224109224103,0.752,0.06501504854175359,0.017996555649544166,0.05862843539349706,0.2777222777222777,0.6457328679550902,False,1.0,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,sex,female,134,0.8059701492537313,0.3888888888888889,108,npv,0.7127659574468085,0.8767123287671232,0.16394637132031475,0.09681958217908766,0.23981453804347827,0.0,0.106682428604907,0.1634454054140746,0.062314796778140565,0.001998001998001998,0.010550197466085317,True,0.0,True
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,sex,female,134,0.8059701492537313,0.3888888888888889,108,f1,0.7115384615384616,0.8571428571428571,0.14560439560439553,0.07639528405536375,0.22458543014617785,0.0,0.10391424720228928,0.1451986183352294,0.06973987195442156,0.001998001998001998,0.024540676714589756,True,0.0,True
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,sex,male,186,0.8010752688172043,0.4697986577181208,149,auroc,0.8832387350862968,0.8848101265822785,0.0015713914959817332,-0.02132546873573657,0.025177564261848057,0.934,0.03431419823211474,0.0017205937467561494,0.034547507792171424,0.8351648351648352,1.0,False,1.0,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,sex,male,186,0.8010752688172043,0.4697986577181208,149,auprc,0.8984281626528332,0.891529667965185,-0.006898494687648249,-0.0342120488626701,0.019471163774632934,0.614,0.038935610505438416,-0.006935011337545927,0.03870805870354534,0.6633366633366633,0.8919146890845004,False,0.8895128205128204,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,sex,male,186,0.8010752688172043,0.4697986577181208,149,bss,0.35499862219199807,0.41005537752274224,0.05505675533074417,0.00040424551990477143,0.11478581766440113,0.05,0.08309168611096641,0.056687848732236534,0.11423433692253407,0.1838161838161838,0.41212755498469783,False,0.14125,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,sex,male,186,0.8010752688172043,0.4697986577181208,149,balanced_accuracy,0.7671145604077377,0.8159132007233273,0.04879864031558956,0.01690312955181808,0.08247738383345464,0.0,0.047381320699912285,0.048617401070907396,0.036991592249212786,0.001998001998001998,0.02822177822177822,True,0.0,True
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,sex,male,186,0.8010752688172043,0.4697986577181208,149,sensitivity,0.5567010309278351,0.6571428571428571,0.10044182621502207,0.0370058778334951,0.16761003411265488,0.0,0.09456867003558633,0.10004258183008108,0.0713824221695484,0.001998001998001998,0.01660104601281072,True,0.0,True
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,sex,male,186,0.8010752688172043,0.4697986577181208,149,specificity,0.9775280898876404,0.9746835443037974,-0.00284454558384295,-0.008418791574279286,0.0,0.26,0.006258993740753902,-0.0028077796882662875,0.02144403136669621,0.7412587412587412,1.0,False,0.5648472222222223,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,sex,male,186,0.8010752688172043,0.4697986577181208,149,brier,0.16095204343324315,0.1469480546957,-0.01400398873754316,-0.029441838087207343,0.00033806334249768147,0.058,0.020961114651149262,-0.014182852250965633,0.02791473563732429,0.18181818181818182,0.36910915171784736,False,0.1364573643410853,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,sex,male,186,0.8010752688172043,0.4697986577181208,149,ece,0.14688634845898835,0.13462959616851286,-0.012256752290475487,-0.0450353625365397,0.005157856781215937,0.136,0.035474947816799586,-0.015192243464935834,0.036307061878742386,0.24975024975024976,0.3567021214080038,False,0.24940181268882178,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,sex,male,186,0.8010752688172043,0.4697986577181208,149,cal_gap,-0.139530021391849,-0.12544653016523827,0.014083491226610734,-0.017934230434419808,0.041763645550808894,0.336,0.041692121489956,0.014330185566324677,0.03830413208028319,0.3156843156843157,0.49007769723882255,False,0.5283730569948187,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,sex,male,186,0.8010752688172043,0.4697986577181208,149,accuracy,0.7580645161290323,0.825503355704698,0.06743883957566577,0.02984928714293043,0.10851414309576157,0.0,0.05654954582310881,0.06726576192567868,0.04372445138565364,0.001998001998001998,0.012633200133200134,True,0.0,True
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,sex,male,186,0.8010752688172043,0.4697986577181208,149,ppv,0.9642857142857143,0.9583333333333334,-0.005952380952380931,-0.018663941873875333,0.0,0.26,0.013428583074625196,-0.005906856822044837,0.034234250679530245,0.989010989010989,1.0,False,0.7345,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,sex,male,186,0.8010752688172043,0.4697986577181208,149,npv,0.6692307692307692,0.7623762376237624,0.0931454683929932,0.041770218282725084,0.14902756134587325,0.0,0.07475899568388537,0.09297228248591194,0.057799475900907005,0.001998001998001998,0.010550197466085317,True,0.0,True
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,sex,male,186,0.8010752688172043,0.4697986577181208,149,f1,0.7058823529411765,0.7796610169491526,0.07377866400797606,0.025879710813994282,0.12357404453020905,0.0,0.07111801801699305,0.07381845107876162,0.05903649240452805,0.001998001998001998,0.024540676714589756,True,0.0,True
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,age,20-39,104,0.7307692307692307,0.75,76,auroc,0.8508869179600886,0.8698060941828255,0.018919176222736866,-0.002560495860227721,0.04792976323386443,0.09,0.035724507063908915,0.019076025356174697,0.0839918671962819,0.5094905094905094,0.8997453900162025,False,0.41253968253968254,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,age,20-39,104,0.7307692307692307,0.75,76,auprc,0.9391125519837393,0.9395539898612228,0.00044143787748351926,-0.01400302241176222,0.0140835133370888,0.924,0.0187954713255182,0.0008336661790139255,0.04201021779716091,0.8451548451548452,0.9785091957223105,False,1.0,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,age,20-39,104,0.7307692307692307,0.75,76,bss,0.039950471094333584,0.22612733194370227,0.18617686084936869,0.039593628423267545,0.3966763174445842,0.022,0.2557281065073495,0.1886702796146797,0.28666215167906145,0.061938061938061936,0.20707103547340236,False,0.07867088607594937,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,age,20-39,104,0.7307692307692307,0.75,76,balanced_accuracy,0.7488913525498891,0.8245614035087718,0.07567005095888268,0.03129585326953748,0.12079237638826164,0.004,0.06528416546594407,0.07589577746053089,0.06419673762204767,0.005994005994005994,0.061574788847516125,False,0.052558139534883724,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,age,20-39,104,0.7307692307692307,0.75,76,sensitivity,0.6341463414634146,0.8070175438596491,0.17287120239623444,0.09367870461366394,0.26096634190605816,0.0,0.11885484481457376,0.17314146546803122,0.07197821544324562,0.001998001998001998,0.01660104601281072,True,0.0,True
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,age,20-39,104,0.7307692307692307,0.75,76,specificity,0.8636363636363636,0.8421052631578947,-0.021531100478468956,-0.07290448343079912,0.0,0.182,0.05568020492902753,-0.02134991054696944,0.11021669357390854,0.8331668331668332,1.0,False,0.474137339055794,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,age,20-39,104,0.7307692307692307,0.75,76,brier,0.16012660411851168,0.14510112526055582,-0.015025478857955854,-0.040941065454761026,0.008652845756264576,0.18,0.03303242287361007,-0.014979682620783474,0.03558838061011643,0.23176823176823177,0.4355520640350362,False,0.3112820512820513,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,age,20-39,104,0.7307692307692307,0.75,76,ece,0.20852400987552336,0.16794425947591662,-0.040579750399606734,-0.07849004986348211,-0.004740398168741141,0.034,0.05309016231261141,-0.041025630690781884,0.044679408493668034,0.013986013986013986,0.038942708667479314,True,0.08563485477178424,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,age,20-39,104,0.7307692307692307,0.75,76,cal_gap,-0.1801109479632802,-0.1290632273854786,0.0510477205778016,0.012385502502259343,0.09330115842092267,0.014,0.0598285936806255,0.050340372689402085,0.04924664345814462,0.005994005994005994,0.024920285194257798,True,0.049695906432748536,True
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,age,20-39,104,0.7307692307692307,0.75,76,accuracy,0.6826923076923077,0.8157894736842105,0.1330971659919028,0.06764332972917302,0.20474358974358975,0.0,0.09564833727622452,0.13307082803861459,0.060607595714948406,0.001998001998001998,0.012633200133200134,True,0.0,True
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,age,20-39,104,0.7307692307692307,0.75,76,ppv,0.9454545454545454,0.9387755102040817,-0.006679035250463761,-0.019354838709677358,0.0,0.102,0.013220770147556517,-0.006180242045639606,0.04492358508100037,0.9690309690309691,1.0,False,0.43992366412213735,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,age,20-39,104,0.7307692307692307,0.75,76,npv,0.3877551020408163,0.5925925925925926,0.20483749055177625,0.08820332480818416,0.346350280924749,0.002,0.18526547894911255,0.20334833333566732,0.0951865930367236,0.001998001998001998,0.010550197466085317,True,0.006890243902439025,True
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,age,20-39,104,0.7307692307692307,0.75,76,f1,0.7591240875912408,0.8679245283018868,0.10880044071064598,0.0569714581344747,0.17054780612446352,0.0,0.0794770179253731,0.10948143711640035,0.05482658200324823,0.001998001998001998,0.024540676714589756,True,0.0,True
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,age,40-54,120,0.775,0.40860215053763443,93,auroc,0.8756952169076752,0.8665071770334928,-0.009188039874182374,-0.052040811005724635,0.027321491403500094,0.65,0.055656710386439004,-0.0094920788468843,0.04736461648487845,0.6153846153846154,0.9712075633863344,False,0.9204260651629073,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,age,40-54,120,0.775,0.40860215053763443,93,auprc,0.8667487168517518,0.8378465844386587,-0.02890213241309314,-0.0853966307710146,0.021762807515609994,0.288,0.07583561012179052,-0.030066614480470655,0.07021149456130009,0.16383616383616384,0.4345888852931107,False,0.5830960854092526,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,age,40-54,120,0.775,0.40860215053763443,93,bss,0.34627774232785924,0.3753924003452991,0.029114658017439843,-0.049637116898746676,0.11063869664781444,0.468,0.11447093257399106,0.029486431176995564,0.15156274515119697,0.5674325674325674,0.7975109467646782,False,0.7255464480874317,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,age,40-54,120,0.775,0.40860215053763443,93,balanced_accuracy,0.7338709677419355,0.7935406698564593,0.059669702114523826,0.010707548226230223,0.11040882485271199,0.006,0.07104447557788751,0.059683498307022465,0.0494116856512507,0.003996003996003996,0.044269456034161915,True,0.07062500000000001,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,age,40-54,120,0.775,0.40860215053763443,93,sensitivity,0.5,0.6052631578947368,0.10526315789473684,0.009065209402561163,0.19818416927899693,0.026,0.13466001613648515,0.10521074176097844,0.09285857507496104,0.003996003996003996,0.026877884020741163,True,0.15144329896907216,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,age,40-54,120,0.775,0.40860215053763443,93,specificity,0.967741935483871,0.9818181818181818,0.014076246334310816,-0.004631229175720613,0.051724137931034475,0.75,0.044734011027725805,0.014156254853066264,0.031600324787295284,0.0899100899100899,0.23523889903200246,False,1.0,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,age,40-54,120,0.775,0.40860215053763443,93,brier,0.16324897490201515,0.15093419855224013,-0.012314776349775014,-0.03275309358874669,0.008024046639241608,0.208,0.028347518731419826,-0.012096062047711825,0.0382272173646995,0.3756243756243756,0.5831304245626496,False,0.35168802228412255,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,age,40-54,120,0.775,0.40860215053763443,93,ece,0.1445760560532411,0.13541361641499305,-0.009162439638248032,-0.04955379467476996,0.014798489795663132,0.328,0.04718908444465366,-0.013494587300587335,0.04717736660647897,0.4155844155844156,0.517987146323902,False,0.4640932400932401,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,age,40-54,120,0.775,0.40860215053763443,93,cal_gap,-0.1395833157002926,-0.1289713707982853,0.010611944902007286,-0.026881808240115553,0.04872372479427795,0.534,0.05441832762787507,0.010641997045884477,0.048797063819364016,0.5314685314685315,0.6820325551826609,False,0.7108289473684212,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,age,40-54,120,0.775,0.40860215053763443,93,accuracy,0.7416666666666667,0.8279569892473119,0.08629032258064517,0.03384246455591577,0.14166666666666672,0.0,0.07503364163302904,0.08650158477016867,0.05576550530608541,0.001998001998001998,0.012633200133200134,True,0.0,True
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,age,40-54,120,0.775,0.40860215053763443,93,ppv,0.9354838709677419,0.9583333333333334,0.02284946236559149,-0.021966879750855414,0.09677419354838712,0.782,0.09027725102706365,0.022892331352932005,0.0631640620602126,0.5094905094905094,0.9023891469032534,False,1.0,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,age,40-54,120,0.775,0.40860215053763443,93,npv,0.6741573033707865,0.782608695652174,0.10845139228138745,0.0458554558186912,0.17326173697238348,0.0,0.09094788960057011,0.10883991767081214,0.06892218228857215,0.001998001998001998,0.010550197466085317,True,0.0,True
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,age,40-54,120,0.775,0.40860215053763443,93,f1,0.651685393258427,0.7419354838709677,0.09025009061254075,0.011182746763754074,0.1680316645271716,0.026,0.10911873176383556,0.09085318502003237,0.08344125477700273,0.003996003996003996,0.037629037629037625,True,0.22953125,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,age,55-69,82,0.9390243902439024,0.19480519480519481,77,auroc,0.8143939393939394,0.8161290322580645,0.0017350928641250984,-0.032967958214493394,0.027448448900189465,0.786,0.04104489242464981,0.0008271680142762916,0.11037693449114742,0.8871128871128872,1.0,False,0.9868995633187773,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,age,55-69,82,0.9390243902439024,0.19480519480519481,77,auprc,0.7503059618144925,0.7571709582632834,0.006864996448790905,-0.05431696610875111,0.058150515499831135,0.714,0.07571514427425644,0.004874841579029399,0.14254936014159977,0.9370629370629371,1.0,False,0.9304357798165137,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,age,55-69,82,0.9390243902439024,0.19480519480519481,77,bss,0.4829491965359608,0.5291118750122836,0.04616267847632283,-0.022726383748262472,0.15995549092101724,0.236,0.1356391115198549,0.04482482945201044,0.19959707800244963,0.5154845154845155,0.7624312859914955,False,0.4629861111111111,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,age,55-69,82,0.9390243902439024,0.19480519480519481,77,balanced_accuracy,0.78125,0.8,0.018750000000000044,0.0,0.06666666666666665,0.752,0.053890436831470365,0.01835948565323564,0.09252246358463348,0.6093906093906094,0.8522418175883523,False,1.0,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,age,55-69,82,0.9390243902439024,0.19480519480519481,77,sensitivity,0.5625,0.6,0.03749999999999998,0.0,0.1333333333333333,0.752,0.10778087366294073,0.03671897130647139,0.185044927169267,0.6093906093906094,0.8760959142638532,False,1.0,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,age,55-69,82,0.9390243902439024,0.19480519480519481,77,specificity,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,False,1.0,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,age,55-69,82,0.9390243902439024,0.19480519480519481,77,brier,0.08120250571951598,0.07386168936390222,-0.007340816355613761,-0.0194293969093982,4.16824765998592e-05,0.064,0.014509227390807794,-0.006790711246644043,0.03652281686612729,0.6133866133866134,0.7964572740692144,False,0.14785888550147105,False
uni2,deep_ensemble,de_predictive_entropy_uni2,0.9,age,55-69,82,0.9390243902439024,0.19480519480519481,77,ece,0.0713699774180607,0.05860406912669732,-0.012765908291363377,-0.03417123999702558,0.0030435793406789185,0.106,0.02606726718181783,-0.015489245610034862,0.04112542217225663,0.30569430569430567,0.41184478935698443,False,0.2116513157894737,False
