predictor,full_auroc,level_a_auroc,diff
uni2,0.901050822297746,0.9219694788367404,0.020918656538994385
conch,0.8946833860697685,0.9118094689646662,0.0171260828948977
hoptimus,0.8983944685339271,0.9171568425815474,0.018762374047620267
ensemble,0.9068713621625846,0.9264941795894863,0.01962281742690175
