predictor,n,prevalence,threshold,auroc,auroc_lo,auroc_hi,auprc,auprc_lo,auprc_hi,accuracy,accuracy_lo,accuracy_hi,balanced_accuracy,balanced_accuracy_lo,balanced_accuracy_hi,sensitivity,sensitivity_lo,sensitivity_hi,specificity,specificity_lo,specificity_hi,ppv,ppv_lo,ppv_hi,npv,npv_lo,npv_hi,f1,f1_lo,f1_hi,brier,brier_lo,brier_hi,ece,ece_lo,ece_hi
uni2,320,0.503125,0.7085506,0.901050822297746,0.8653433727879996,0.933828469862104,0.8992396546412694,0.8527406040111549,0.94024972468314,0.765625,0.725,0.80625,0.7668854252119224,0.7263955623266534,0.8073752880971913,0.5652173913043478,0.484472049689441,0.6459627329192547,0.9685534591194969,0.9371069182389937,0.9937106918238994,0.9479166666666666,0.9028941536513297,0.989010989010989,0.6875,0.6497836200367846,0.7289941090490321,0.708171206225681,0.6396678170836929,0.7703703703703704,0.13944068489257977,0.11276811640718983,0.16757748924917823,0.12946823744568972,0.10398398538716719,0.161123125275335
conch,320,0.503125,0.4475201,0.8946833860697684,0.8550421891480137,0.9325803742333685,0.8985088025937604,0.8510415774066841,0.9417539270369184,0.85,0.809375,0.8875,0.8503847806554944,0.8098949177702255,0.8878471815305286,0.7888198757763976,0.7267080745341615,0.8509316770186336,0.9119496855345912,0.8679245283018868,0.9559748427672956,0.900709219858156,0.8571428571428571,0.9469796650717703,0.8100558659217877,0.765625,0.8580464667121108,0.8410596026490066,0.7959183673469388,0.8831168831168831,0.1279290448683911,0.10156659655745387,0.15430147242245443,0.09209036106185522,0.07590344012623972,0.12900880405515636
hoptimus,320,0.503125,0.28485018,0.8983944685339271,0.8621284034532599,0.9341038712449705,0.9004418084472494,0.8549872147380025,0.9412992034753426,0.8375,0.796875,0.875,0.8379624204070472,0.7973944294699011,0.8754638853080199,0.7639751552795031,0.6956521739130435,0.8260869565217391,0.9119496855345912,0.8679245283018868,0.949685534591195,0.8978102189781022,0.8510558907589711,0.9416058394160584,0.7923497267759563,0.7461928934010152,0.8381687540141296,0.825503355704698,0.7766323024054983,0.8681672025723473,0.15050352750553805,0.12208811753207878,0.17878723502473337,0.14007764138514173,0.11828609363881698,0.17637402532891425
uni2+hoptimus,320,0.503125,0.4884992,0.9041759443728271,0.8690876596742061,0.9366772139536701,0.9017833467127063,0.853889378052143,0.9430763497961917,0.821875,0.78125,0.859375,0.8225907262002422,0.7822170787921403,0.8600140630493378,0.7080745341614907,0.639751552795031,0.7763975155279503,0.9371069182389937,0.8992138364779875,0.9748427672955975,0.9193548387096774,0.873015873015873,0.9646095326812606,0.7602040816326531,0.7182919274908712,0.804235679779158,0.8,0.7490673400673401,0.8464163822525598,0.14041059705066578,0.11508574086818735,0.16879202364456597,0.1332697263947921,0.10935951513842157,0.1663905152585357
ensemble,320,0.503125,0.44161943,0.9068713621625845,0.8701492245790852,0.9387095199031212,0.9060718753547019,0.8575527103481085,0.9465005383235887,0.84375,0.803125,0.88125,0.8442517285831478,0.8037228016719403,0.8815588499550764,0.7639751552795031,0.6956521739130435,0.8260869565217391,0.9245283018867925,0.8805031446540881,0.9622641509433962,0.9111111111111111,0.8633019611707894,0.9534883720930233,0.7945945945945946,0.7486606906763974,0.8418079096045198,0.831081081081081,0.7816901408450704,0.8733333333333333,0.1299887662764287,0.10640800221447376,0.15603281749263728,0.11749539011507294,0.09364143552411404,0.15004599857093126
