predictor,family,signal,target_coverage,axis,level,n,n_retained,realised_coverage
uni2,laplace,laplace_predictive_entropy_uni2,0.9,tier,c,8,6,0.75
uni2,laplace,laplace_predictive_entropy_uni2,0.9,tier_grouped,c,8,6,0.75
uni2,laplace,laplace_predictive_entropy_uni2,0.8,sex,female,134,86,0.6417910447761194
uni2,laplace,laplace_predictive_entropy_uni2,0.8,sex,male,186,117,0.6290322580645161
uni2,laplace,laplace_predictive_entropy_uni2,0.8,age,20-39,104,50,0.4807692307692308
uni2,laplace,laplace_predictive_entropy_uni2,0.8,age,40-54,120,77,0.6416666666666667
uni2,laplace,laplace_predictive_entropy_uni2,0.8,age,55-69,82,66,0.8048780487804879
uni2,laplace,laplace_predictive_entropy_uni2,0.8,age,70+,11,8,0.7272727272727273
uni2,laplace,laplace_predictive_entropy_uni2,0.8,tier,a,312,197,0.6314102564102564
uni2,laplace,laplace_predictive_entropy_uni2,0.8,tier,c,8,6,0.75
uni2,laplace,laplace_predictive_entropy_uni2,0.8,tier_grouped,c,8,6,0.75
uni2,laplace,laplace_predictive_entropy_uni2,0.7,sex,female,134,72,0.5373134328358209
uni2,laplace,laplace_predictive_entropy_uni2,0.7,sex,male,186,91,0.489247311827957
uni2,laplace,laplace_predictive_entropy_uni2,0.7,age,20-39,104,31,0.2980769230769231
uni2,laplace,laplace_predictive_entropy_uni2,0.7,age,40-54,120,64,0.5333333333333333
uni2,laplace,laplace_predictive_entropy_uni2,0.7,age,55-69,82,59,0.7195121951219512
uni2,laplace,laplace_predictive_entropy_uni2,0.7,age,70+,11,8,0.7272727272727273
uni2,laplace,laplace_predictive_entropy_uni2,0.7,tier,a,312,160,0.5128205128205128
uni2,laplace,laplace_predictive_entropy_uni2,0.7,tier,c,8,3,0.375
uni2,laplace,laplace_predictive_entropy_uni2,0.7,tier_grouped,c,8,3,0.375
uni2,mc_dropout,mc_predictive_entropy_uni2,0.9,sex,female,134,110,0.8208955223880597
uni2,mc_dropout,mc_predictive_entropy_uni2,0.9,sex,male,186,150,0.8064516129032258
uni2,mc_dropout,mc_predictive_entropy_uni2,0.9,age,20-39,104,76,0.7307692307692307
uni2,mc_dropout,mc_predictive_entropy_uni2,0.9,age,40-54,120,98,0.8166666666666667
uni2,mc_dropout,mc_predictive_entropy_uni2,0.9,age,55-69,82,75,0.9146341463414634
