predictor,n_eval,threshold_locked,threshold_recalibrated,threshold_recalibrated_if_contaminated_with_level_C_and_no_split,sensitivity_locked,sensitivity_recal,specificity_locked,specificity_recal,balanced_accuracy_locked,balanced_accuracy_recal,ppv_locked,ppv_recal,npv_locked,npv_recal,accuracy_locked,accuracy_recal
uni2,102,0.7085506,0.1361551582813263,0.2778395414352417,0.673469387755102,0.8979591836734694,0.9245283018867925,0.6792452830188679,0.7989988448209473,0.7886022333461686,0.8918918918918919,0.7213114754098361,0.7538461538461538,0.8780487804878049,0.803921568627451,0.7843137254901961
conch,102,0.4475201,0.2422492504119873,0.4072111248970032,0.8571428571428571,0.8775510204081632,0.8113207547169812,0.7358490566037735,0.8342318059299192,0.8067000385059684,0.8076923076923077,0.7543859649122807,0.86,0.8666666666666667,0.8333333333333334,0.803921568627451
hoptimus,102,0.28485018,0.20217156410217285,0.2513343095779419,0.7959183673469388,0.8367346938775511,0.8301886792452831,0.7735849056603774,0.8130535232961109,0.8051597997689642,0.8125,0.7735849056603774,0.8148148148148148,0.8367346938775511,0.8137254901960784,0.803921568627451
uni2+hoptimus,102,0.4884992,0.1928032785654068,0.27890217304229736,0.7346938775510204,0.8979591836734694,0.8490566037735849,0.7169811320754716,0.7918752406623026,0.8074701578744705,0.8181818181818182,0.7457627118644068,0.7758620689655172,0.8837209302325582,0.7941176470588235,0.803921568627451
ensemble,102,0.44161943,0.24247775971889496,0.24116812646389008,0.8367346938775511,0.8979591836734694,0.8301886792452831,0.7547169811320755,0.8334616865614171,0.8263380824027724,0.82,0.7719298245614035,0.8461538461538461,0.8888888888888888,0.8333333333333334,0.8235294117647058
