predictor,family,signal,target_coverage,combo,thr,n,realised_coverage,realised_coverage_mutant,realised_coverage_wildtype,retained_prev,n_retained,metric,full,retained,d_full,d_full_lo,d_full_hi,d_full_p,d_full_mde,d_random,mde,p_raw,q_fdr,sig_fdr,q_fdr_full,sig_fdr_full
uni2,deep_ensemble,de_aleatoric_uni2,0.9,external,0.7085506,102,0.7647058823529411,0.673469387755102,0.8490566037735849,0.4230769230769231,78,auroc,0.8771659607239122,0.8922558922558923,0.015089931531980127,-0.00629856318218391,0.04281365965191132,0.152,0.033903243855990875,0.015072252690346954,0.05423058744371502,0.41358641358641357,0.8880624326168881,False,0.7954285714285714,False
uni2,deep_ensemble,de_aleatoric_uni2,0.9,external,0.7085506,102,0.7647058823529411,0.673469387755102,0.8490566037735849,0.4230769230769231,78,auprc,0.8356211328651544,0.8331174070994339,-0.0025037257657204437,-0.04151803239393571,0.03365747386207302,0.972,0.050603926921220545,-0.004114870652979774,0.09126533405090934,0.939060939060939,0.999000999000999,False,0.9979999999999999,False
uni2,deep_ensemble,de_aleatoric_uni2,0.9,external,0.7085506,102,0.7647058823529411,0.673469387755102,0.8490566037735849,0.4230769230769231,78,bss,0.4293793489370368,0.547153466352315,0.11777411741527821,0.02048437378548173,0.2261703319504145,0.016,0.14763051382989006,0.11956721628566919,0.1614494756487262,0.055944055944055944,0.3808675401032089,False,0.1504864864864865,False
uni2,deep_ensemble,de_aleatoric_uni2,0.9,external,0.7085506,102,0.7647058823529411,0.673469387755102,0.8490566037735849,0.4230769230769231,78,balanced_accuracy,0.7989988448209473,0.8797979797979798,0.0807991349770325,0.027398587434562,0.14014786888835795,0.002,0.08083748061011817,0.08024061107632141,0.06141552515176305,0.003996003996003996,0.04966462109319252,True,0.02485714285714286,True
uni2,deep_ensemble,de_aleatoric_uni2,0.9,external,0.7085506,102,0.7647058823529411,0.673469387755102,0.8490566037735849,0.4230769230769231,78,sensitivity,0.673469387755102,0.8484848484848485,0.1750154607297465,0.07153883223479669,0.2918716090672612,0.0,0.15968388335897438,0.1740254040439092,0.10957226646106902,0.001998001998001998,0.014793716921376496,True,0.0,True
uni2,deep_ensemble,de_aleatoric_uni2,0.9,external,0.7085506,102,0.7647058823529411,0.673469387755102,0.8490566037735849,0.4230769230769231,78,specificity,0.9245283018867925,0.9111111111111111,-0.013417190775681376,-0.03467501895468001,-0.0017351621499662783,0.038,0.023760606467835226,-0.013544181891266383,0.05649468193436997,0.6393606393606394,0.6846076999923154,False,0.06482352941176471,False
uni2,deep_ensemble,de_aleatoric_uni2,0.9,external,0.7085506,102,0.7647058823529411,0.673469387755102,0.8490566037735849,0.4230769230769231,78,brier,0.14243577766344823,0.11053206812406512,-0.03190370953938311,-0.05819199022609581,-0.01077089836822463,0.004,0.03453736436457813,-0.0319302935171495,0.04038790098826479,0.04195804195804196,0.2945387945387945,False,0.039771428571428576,True
uni2,deep_ensemble,de_aleatoric_uni2,0.9,external,0.7085506,102,0.7647058823529411,0.673469387755102,0.8490566037735849,0.4230769230769231,78,ece,0.14137711369560335,0.1205449210455975,-0.020832192650005854,-0.07113737400769779,0.0036609339434056296,0.084,0.05403711918795642,-0.025087351470111124,0.050105193303834394,0.17382617382617382,0.36885066153358836,False,0.31174999999999997,False
uni2,deep_ensemble,de_aleatoric_uni2,0.9,external,0.7085506,102,0.7647058823529411,0.673469387755102,0.8490566037735849,0.4230769230769231,78,cal_gap,-0.042171608227505986,-0.0131569295667876,0.029014678660718385,-0.02156116022006692,0.07625678966622439,0.308,0.0723083407474538,0.028724671588852425,0.05888672772423888,0.18981018981018982,0.5074925074925075,False,0.6195606936416185,False
uni2,deep_ensemble,de_aleatoric_uni2,0.9,external,0.7085506,102,0.7647058823529411,0.673469387755102,0.8490566037735849,0.4230769230769231,78,accuracy,0.803921568627451,0.8846153846153846,0.08069381598793357,0.025773420479302794,0.14223503717764518,0.002,0.08398352509948595,0.08019230769230745,0.06306669699225113,0.005994005994005994,0.061350414291590764,False,0.027840000000000004,True
uni2,deep_ensemble,de_aleatoric_uni2,0.9,external,0.7085506,102,0.7647058823529411,0.673469387755102,0.8490566037735849,0.4230769230769231,78,ppv,0.8918918918918919,0.875,-0.016891891891891886,-0.043441650853889964,-0.0015005136715663262,0.044,0.030949282886477376,-0.017200715234817365,0.08056393292360037,0.6593406593406593,0.7857895529128406,False,0.23925,False
uni2,deep_ensemble,de_aleatoric_uni2,0.9,external,0.7085506,102,0.7647058823529411,0.673469387755102,0.8490566037735849,0.4230769230769231,78,npv,0.7538461538461538,0.8913043478260869,0.13745819397993309,0.05424130251595037,0.23323554379306896,0.0,0.12923486052930544,0.1368346258529166,0.0868180536392143,0.001998001998001998,0.057942057942057944,False,0.0,True
uni2,deep_ensemble,de_aleatoric_uni2,0.9,external,0.7085506,102,0.7647058823529411,0.673469387755102,0.8490566037735849,0.4230769230769231,78,f1,0.7674418604651163,0.8615384615384616,0.09409660107334528,0.029251283449184505,0.1697053872053872,0.002,0.10031395558288315,0.0940488261776462,0.08122319806743929,0.003996003996003996,0.057942057942057944,False,0.03866666666666667,True
