,n,auroc,auroc_lo,auroc_hi,brier,brier_lo,brier_hi
"all (A+C, n=320)",320.0,0.9068713621625845,0.8697537013164577,0.9385942810266026,0.1299887662764287,0.10639103847488855,0.15641924959550244
"A (n=312, excl. Level C)",312.0,0.9264941795894862,0.8940325367117766,0.9548794784254042,0.12131631705127556,0.09808302699829949,0.14599135203911973
