encoder,error_rate_mutant,error_rate_wildtype,ratio
uni2,0.2981366459627329,0.06289308176100629,4.740372670807454
conch,0.2670807453416149,0.08176100628930817,3.2666029622551362
hoptimus,0.33540372670807456,0.050314465408805034,6.666149068322982
