axis,contrast,nA,nB,mde_proportion,mde_auroc_conservative,adequate_for_0.05_gap
sex,female - male,134,186,0.15872303511342947,0.18405902560731313,False
age,20-39 - rest,104,213,0.16757028232685772,0.22663259957485976,False
age,40-54 - rest,120,197,0.16221078896604468,0.18807857457020818,False
age,55-69 - rest,82,235,0.1796646416049324,0.2513739840075628,False
age,70+ - rest,11,306,0.429879185084846,0.5374926525987973,False
tier,a - c,312,8,0.5015642113949264,,False
