fold,n_patches,maha_mean,maha_std,maha_median,maha_p90,maha_p95,maha_p99,maha_top5_mean,mahapc_mean,mahapc_p95,mahapc_top5_mean,mahaenergy_mean,mahaenergy_p95,mahaenergy_top5_mean,featnorm_mean,featnorm_p95,featnorm_top5_mean,case_id,encoder,dataset,maha_status,maha_error
0,338,36.43554987425876,10.509886470095857,34.58673079711806,47.544551821608,51.732608591066395,71.69315906533305,66.71117114919325,37.90452045014019,54.34788505669639,67.49185806062343,64.63420882578508,72.51700434232724,79.85042792488068,34.39894600591716,35.6296875,35.849264705882355,a1980554-357f-11eb-9310-001a7dda7111,hoptimus,ebrains,ok,
0,1907,68.79075803523553,21.5425391901214,66.91924089553993,96.12858388200652,106.87009515777389,130.0181802912992,122.3345637610051,64.64989088033936,99.13433136939223,114.0149825591911,80.61064062970381,99.77979689314012,107.40981652938933,31.658855532249607,34.0625,34.482421875,a1956cb9-357f-11eb-9c2a-001a7dda7111,hoptimus,ebrains,ok,
0,3352,76.24260939009613,21.958232528359897,74.27345381387215,105.81579416763338,115.0209314044291,133.39084393239946,126.90560279652394,75.0403794500311,112.02231682107308,124.01093196462568,84.44817827380001,103.87833177276724,109.8019396338592,32.96151551312649,35.21875,35.705357142857146,a196a593-357f-11eb-9015-001a7dda7111,hoptimus,ebrains,ok,
0,274,63.265205309286955,18.272767828515224,60.4881977898737,87.86751496229823,97.39298162455297,113.98879486448898,109.57254085635266,63.20109159003943,96.84137906112572,106.80566512329757,77.94228761382294,94.99722428743239,101.07297709159448,31.767278740875913,34.084374999999994,34.517857142857146,a19609b0-357f-11eb-b110-001a7dda7111,hoptimus,ebrains,ok,
0,2801,85.81186157368012,41.45151012610207,75.67325294164183,145.8137281109609,170.44479414761128,204.73947250319796,190.40994690108144,83.31428013987772,165.3574335125354,184.15617546514036,89.14046616496364,131.42227193429957,141.46142641183232,33.35803061406641,36.21875,36.7280585106383,a197b6c8-357f-11eb-8dd8-001a7dda7111,hoptimus,ebrains,ok,
0,4934,70.31626958488644,25.963221826641174,66.35277736614245,105.24588248618942,119.2120897337991,147.54291126120282,137.36213282224423,66.75053607638088,114.53259258509547,132.93047304100884,81.37928244262993,105.88639549406807,114.93875588906063,31.655068782934737,35.97968749999998,36.76834514170041,a1978f83-357f-11eb-bb43-001a7dda7111,hoptimus,ebrains,ok,
0,282,44.875573785707154,13.098847962539091,42.596746071470164,63.437963069777474,70.6714689688319,84.39181563077967,79.13278901774294,43.570845405854406,68.6370057186953,75.29101043004124,68.62805689748257,81.64047012403293,85.76739478132187,32.42525487588652,35.2171875,35.59166666666667,a196cc6a-357f-11eb-b95b-001a7dda7111,hoptimus,ebrains,ok,
0,302,49.676569388231,19.600814226389474,44.64830704568636,77.04196543161358,91.10776333866526,112.23802043458576,104.92386866847775,47.86738494884175,86.27795207643402,97.6861845233085,70.9728128604146,91.66072497535285,98.56379188308065,33.25610513245033,35.496875,35.826171875,a19741bf-357f-11eb-a086-001a7dda7111,hoptimus,ebrains,ok,
0,156,64.08917608618594,22.258138287714605,58.177558047873546,92.21731006019932,103.74011847267184,144.37527769299703,126.26026718022007,63.34546046636402,100.54196156910228,122.85388963120164,78.41644614135686,98.04317682527584,109.45397084840036,31.309695512820515,34.90625,35.37109375,a196cc57-357f-11eb-bf07-001a7dda7111,hoptimus,ebrains,ok,
0,112,54.85136248458171,23.715337872678234,49.33439932726199,81.81477943944725,91.0930969726143,99.26161328399496,117.73668063526263,54.99239054485723,88.54156746656486,114.9601768665753,73.68368607522666,91.6735631197634,105.08358985834606,30.718470982142858,33.3890625,34.359375,a1960987-357f-11eb-abc9-001a7dda7111,hoptimus,ebrains,ok,
