id	filename	md5	size	state
1356b876-18b5-434e-a347-bc9374120a0e	TCGA-02-0025-01A-01-TS1.9146b647-aed2-4d31-b8f5-2750c028a356.svs	a8141f53df09c4e8f36ad3d616f0d220	597340515	released
fe801b86-c068-446e-9f70-35480832e66e	TCGA-HT-7605-01A-01-BS1.3d95d130-b095-419c-b97c-10d7ddf28888.svs	d484f01c97968cebe038c0374f7ae2d4	596229727	released
43424ab5-ac22-418c-95c4-93706b66b90b	TCGA-TQ-A7RI-01A-01-TS1.F27E90DE-7420-44B0-A60E-AC8A81514FB3.svs	7a257d4e434404f6a979e441ed1ddf3c	589575015	released
8196f08a-fa0f-43d6-983c-850276508f86	TCGA-DU-A5TR-01A-01-TSA.83370ED5-89DE-477F-A7EF-12234076FC0F.svs	bd538c8099295d6787d1e71946f89ae4	584453395	released
b5bb26f9-6f11-425d-90b6-11c6d31a23da	TCGA-FG-A60J-01A-01-TS1.8E05AB6F-06E0-4700-9EC8-5921A411F684.svs	3041655c2663fa2c474da330df3cdfa4	583962129	released
63cc74ca-7748-4e3d-9400-0b1658c4f61a	TCGA-HT-7603-01A-01-BS1.412cabf5-b046-4fb3-9b68-8851d45cfb34.svs	c13549898c532061b8394b61f085dae0	583530729	released
d4744e82-f09e-4161-92a0-fe0e6e5963c0	TCGA-TQ-A7RH-01A-01-TS1.A24B479C-85AE-4D7E-B284-78FA690AEB5B.svs	1abbbf2437a8c080e5a23e850f1b88b8	577436183	released
f1673e36-47a1-4e5f-8627-4c1e8f68ddf2	TCGA-02-0086-01A-01-BS1.1b78c4c5-cd48-43ec-99d3-a8174ad638f0.svs	756e1abac62e078eb461a49d7d40c985	572887101	released
c6fba1b9-ef96-471e-963c-912f7ef6c91a	TCGA-HT-7602-01A-01-BS1.b1d6f1fa-829b-4924-a688-e48ae32d6c8e.svs	c809d36df045efba69365be6c3e6304e	563513435	released
47d7f62f-b4ec-49df-b123-e6d8d15c5cac	TCGA-HT-7884-01B-01-BS1.f2ced310-4468-4268-abc9-e6a12b16200f.svs	45844a1682dc25a2d5599a81d770b6d8	560868651	released
d6dc948c-9559-4496-bbff-d8e7262a9722	TCGA-HT-7677-01A-01-BS1.13a6f4d2-2ffe-4f5c-a269-dde3fa71debf.svs	077b4a521946ac0b6da1db70093e1878	557126709	released
a85f675c-f5da-43bc-9ce8-ca469bf92bc7	TCGA-S9-A6UA-01A-01-TS1.A699EE50-4776-4D15-9CE8-A2E49DF147BF.svs	a0258b0a4573f4ba199375c7b46dd94c	555106843	released
d0eae3f3-93e6-4b96-ac56-971801f6d1bc	TCGA-DU-8162-01A-01-BS1.dcca838a-7b70-4f0e-98be-3e59be23f521.svs	b86f8d42545132e75503599df6c2171e	545846201	released
bd6d5366-e55a-4697-b10c-87ea219044fd	TCGA-DU-6404-02B-01-TS1.F1FB2086-7951-4603-A4B1-0E254CD49350.svs	df6a98637007cc7c86492953873e4e4a	538149127	released
7d3fb3a3-26e6-4e83-a1a7-582bd907aca8	TCGA-DU-8165-01A-01-TS1.94c90050-14a9-432f-b470-9f526b2131a7.svs	b72cbcb8396587522ba390931b51dfac	536445567	released
41a3d506-01f9-4d9d-827d-e286442530a6	TCGA-FG-7634-01A-01-BS1.649b9939-9e12-4c11-b458-fda14f276a23.svs	b34ff5bdb580893bcf095da33f87f4a0	522302493	released
5897a5ce-ef9f-46ca-8ccd-bf8423473002	TCGA-FG-7638-01B-01-BS1.f207492e-bdcd-4f30-bbcf-b3a3c92cc82e.svs	ca51b04a7de06c30b2fcd7381d8817ba	518134499	released
e411c18b-5945-4a14-ace7-7243bda526ce	TCGA-HT-8013-01A-01-BS1.1088d137-0d12-4ae5-a573-2bc0ea6b56db.svs	a0d430810a947575e9a2f12b57a1ee68	508835889	released
145425a3-c3c5-4e96-a6a5-501fd7b57841	TCGA-DU-8163-01A-01-TS1.bbb2c705-0ba4-4d9f-9679-c04d9a60c5f1.svs	a84047e894862ad517e1dd4ddd6aa1e8	506922871	released
2e0654a8-4551-4936-81f5-d1a7c9050737	TCGA-HT-7601-01A-01-BS1.b08537ca-d00f-4b73-bcdd-3c65b42a0272.svs	fe5ee432e266968f3fe171332661f805	505381149	released
41d1ce6d-4583-46e2-ae93-18aeae9856e9	TCGA-HT-8011-01A-01-BS1.aa8d2038-e32e-4150-aa91-9c2b4d023e00.svs	86695bfc73960d3445a42f8dd2d96150	504782581	released
30444787-4e3b-46ea-8624-e622d7db75e5	TCGA-HT-7691-01A-01-BS1.78f215ef-e9f2-485e-b5db-98b266ffd683.svs	d6e1a5a3dc6f58df8708a53781b27ebf	503232795	released
ae26f788-bc66-4958-a462-fca5980589d5	TCGA-FG-A4MT-02A-01-TS1.20871686-4B1A-43C3-9DC0-3643DDFF83AA.svs	33b2c58cd82c17eb1e1c7c73c8eb9187	490575749	released
0d110890-3dcc-482b-8188-446bfe9a155f	TCGA-TQ-A7RK-01A-01-TS1.55B0B205-AEB8-44BE-9069-40E0D3ECE426.svs	5f5370e7c3905eee2c41df33495cc264	490334237	released
0dda6c6c-d840-4ac2-9f9f-182c5779bac7	TCGA-S9-A7R7-01A-01-TS1.AE99233E-BFA3-4E6A-AEB9-6A3F090DFC21.svs	cd998f503eaeedded7984e619860035e	490278537	released
82ff55b9-1dbc-4e0e-b0f5-089cad8f7141	TCGA-DU-8168-01A-01-TS1.7cb0734d-ae96-474c-8e55-5598ad0f6046.svs	a38276a69ee891045dc7447db56de045	490041467	released
61f21032-3142-4edf-8dfe-bce77f6da042	TCGA-DB-A64W-01A-01-TSA.FA725452-AD49-4C2B-975F-0A55DEBF5211.svs	18dfcd1a5a3ddb394fb3313a6e132a2d	488904139	released
f1a65fce-ec5e-4626-b316-3cdc51f5eecb	TCGA-QH-A6CS-01A-01-TS1.2240D670-ABA9-4ED4-8D19-AEEC62ADA95E.svs	b9b764161726ff051bcc1d91ee13ff94	482417449	released
4e45a64d-627a-4bdb-87bc-6c2bc55df63a	TCGA-HT-7688-01A-01-BS1.5f367ec9-c266-4151-bc0c-e13550205b3f.svs	95b0680dca4b856e29e8537cc943bba7	481647191	released
838208ad-f11c-4f19-8480-a083379494f3	TCGA-TQ-A7RN-01A-01-TS1.CB2FCB9A-6738-443B-813C-B137884699E5.svs	ba903da59f83378193d410d113c635ae	481493199	released
1501a9e9-4317-4ede-add1-f5484f5e7778	TCGA-IK-8125-01A-01-BS1.6b194533-6480-45a2-89ae-fd21f02ec0fa.svs	804a6ffc644312e54402e65be3496033	479334971	released
b78408e9-1042-474c-8605-9c65ba5ed963	TCGA-HW-8320-01A-01-TS1.2464e2d9-47bc-42a4-8070-baecc071f98f.svs	142384507ad337e9b7f6724199b7fa8f	470013441	released
de5cd3c6-7d8b-4d6b-84e6-298254934198	TCGA-WH-A86K-01A-01-TS1.BB2209B6-13AC-46F5-8F41-DC5EA3F7433F.svs	6694c1c5e48571c9e1aa75d060014616	469239603	released
fd7c24a5-9803-4d4b-b188-81a8b979e8c5	TCGA-DB-5278-01A-01-BS1.f5dfe5d2-5dfb-4041-9143-9a64513d3a17.svs	36e95ad7a789f34b20ff9c2924e9b309	465868837	released
54ea45fa-a633-487f-be3d-b0168f2983c8	TCGA-HT-7604-01A-01-BS1.15ec0167-3563-4678-80f7-8f0899036387.svs	3737d31f1370b83c07b0fc6395edec76	464702995	released
912ec8f6-07b6-4798-a669-54bb52134dbf	TCGA-FG-8181-01A-01-BS1.96c980de-1224-484b-9731-f98cff63d967.svs	a25a7cd4e21e37a9743d2e7be790dba5	462684305	released
eeacfea7-af5d-43a9-8bab-1a94e3fef3c0	TCGA-DU-8166-01A-01-TS1.ad9c044a-749f-4693-9af6-7e090fffc6ae.svs	5d878d14300f48659bca36ab4a56f199	462281879	released
1d0514d7-4e02-4471-bd8a-4a4f0961b24f	TCGA-HT-7681-01A-01-BS1.6bc76dba-7e66-476a-80c1-2bfb6503bc6e.svs	35e117a9d172bcf30adc3cb27d99f423	457771757	released
02ed9531-7dcb-43c9-a2ad-93c49a89a760	TCGA-HT-8114-01A-01-TS1.579fc166-e58a-40ca-a695-5a63ce7191a2.svs	d1b2ad7e9270500d8a037d9a47d98a9d	456102617	released
02233647-8429-464a-915a-1347a81a32cf	TCGA-TQ-A7RV-01A-02-TS2.1E730B6F-00C9-4B78-874E-B1094FD2EEE7.svs	eda218530bc9cc7fe6b708383e6472c8	446633783	released
3b4e90fd-ba34-4b67-98ae-39e7d3ddcbe3	TCGA-FG-8186-01A-01-BS1.2f5dcc53-eba5-4e91-aad8-786803cdb5e5.svs	32358e2d78207cd94d855b184484a1e9	443277173	released
d32a0ac8-5087-4342-a718-a818561d754f	TCGA-HT-7693-01A-01-BS1.67ece220-ff72-47e3-8a87-e73eefbe1c6b.svs	dcf80c68c2b03ca146cbf7ec5776210d	442384579	released
8a4698df-fedb-4c55-af0b-cb5691a45b03	TCGA-HT-7873-01B-01-BS1.c2517639-713f-41f8-a101-070571e93cb7.svs	d97efb28c9c8b0526de98f52bffac7fb	436492019	released
c8779f48-5781-4924-ab61-bb4cdc857da3	TCGA-HT-8105-01A-01-BS1.228dc393-ee8e-4253-a5d5-76c9e3ebdaaf.svs	17554ff708d7514042c79ae7184c49e8	432562903	released
56eb271e-c1cf-4a54-bad8-b5ff76f99703	TCGA-DU-A5TU-01A-01-TS1.83D88540-E6B9-4591-B3C6-C0AE19D41A4E.svs	e75efdd4e6ba526f0f2757d07276eda9	432560463	released
