encoder,baseline,pair,n_a,n_b,auroc,ci_lo,ci_hi,n_boot_valid,q_fdr
uni2,maha_mean,ebrains_vs_tcga,641,789,0.8584535016381643,0.8397327033765761,0.8771873992830436,2000,0.001
uni2,maha_mean,tcga_vs_ipd_brain,789,320,0.33257287705956906,0.30117989543726237,0.3649252416032952,2000,0.001
uni2,maha_mean,ebrains_vs_ipd_brain,641,320,0.8106864274570983,0.7846654397425898,0.8369855450468019,2000,0.001
hoptimus,maha_mean,ebrains_vs_tcga,641,789,0.8087549357487607,0.7857322011511638,0.8305326357540994,2000,0.001
hoptimus,maha_mean,tcga_vs_ipd_brain,789,320,0.7152368504435995,0.6828177479404309,0.746567054816223,2000,0.001
hoptimus,maha_mean,ebrains_vs_ipd_brain,641,320,0.9326784321372855,0.9172027349843994,0.9472021255850234,2000,0.001
