dataset,encoder,patient_id,n_patches,featnorm_mean
ebrains,hoptimus,a1956cb9-357f-11eb-9c2a-001a7dda7111,1907.0,31.658855532249607
ebrains,hoptimus,a1956cbb-357f-11eb-a8a0-001a7dda7111,1958.0,33.97990615423902
ebrains,hoptimus,a1956cbc-357f-11eb-bfe1-001a7dda7111,3310.0,32.271856117824775
ebrains,hoptimus,a1956cc4-357f-11eb-ac83-001a7dda7111,7309.0,32.1146082740457
ebrains,hoptimus,a1956ccd-357f-11eb-998b-001a7dda7111,545.0,34.371788990825685
ebrains,hoptimus,a1956cda-357f-11eb-ba62-001a7dda7111,2216.0,33.16930138763538
ebrains,hoptimus,a1956cdb-357f-11eb-a2b4-001a7dda7111,1384.0,32.64545700867052
ebrains,hoptimus,a1956ce4-357f-11eb-9ca6-001a7dda7111,1453.0,33.213469975911906
ebrains,hoptimus,a1956cf0-357f-11eb-ad40-001a7dda7111,2879.0,33.87202587704064
ebrains,hoptimus,a1956cf3-357f-11eb-b68f-001a7dda7111,2271.0,30.683027851166887
ebrains,hoptimus,a1956cf6-357f-11eb-a19e-001a7dda7111,1000.0,29.155359375
ebrains,hoptimus,a1956cfa-357f-11eb-9673-001a7dda7111,5305.0,31.532080584354382
ebrains,hoptimus,a1956d02-357f-11eb-a8b9-001a7dda7111,4373.0,33.22557454836497
ebrains,hoptimus,a1956d06-357f-11eb-856b-001a7dda7111,1849.0,31.95169686316928
ebrains,hoptimus,a1956d10-357f-11eb-aa4e-001a7dda7111,97.0,32.688627577319586
ebrains,hoptimus,a1956d11-357f-11eb-bf6c-001a7dda7111,447.0,35.505487975391496
ebrains,hoptimus,a1956d15-357f-11eb-af96-001a7dda7111,3570.0,30.346660539215687
ebrains,hoptimus,a19593bf-357f-11eb-96fe-001a7dda7111,3531.0,31.636540640045315
ebrains,hoptimus,a19593c1-357f-11eb-bb24-001a7dda7111,672.0,32.152669270833336
ebrains,hoptimus,a19593c2-357f-11eb-b9c0-001a7dda7111,6249.0,34.22408835413666
ebrains,hoptimus,a19593c6-357f-11eb-b657-001a7dda7111,4843.0,31.575856906875902
ebrains,hoptimus,a19593ce-357f-11eb-b8ef-001a7dda7111,519.0,32.157243497109825
ebrains,hoptimus,a19593d0-357f-11eb-9fea-001a7dda7111,6829.0,34.07491259701274
ebrains,hoptimus,a19593d8-357f-11eb-b8b7-001a7dda7111,787.0,34.110308132147395
ebrains,hoptimus,a19593d9-357f-11eb-991f-001a7dda7111,628.0,30.9156050955414
ebrains,hoptimus,a19593df-357f-11eb-86a4-001a7dda7111,3535.0,32.81358292079208
ebrains,hoptimus,a19593e1-357f-11eb-ad0e-001a7dda7111,5513.0,31.504906017594777
ebrains,hoptimus,a19593e2-357f-11eb-a6ac-001a7dda7111,377.0,31.71182858090185
ebrains,hoptimus,a19593e9-357f-11eb-8689-001a7dda7111,367.0,34.5096219346049
ebrains,hoptimus,a19593ec-357f-11eb-8adf-001a7dda7111,5646.0,32.06943798707049
ebrains,hoptimus,a19593ee-357f-11eb-a1ac-001a7dda7111,5140.0,31.98752127918288
ebrains,hoptimus,a19593fa-357f-11eb-bd30-001a7dda7111,3031.0,35.690685829759154
ebrains,hoptimus,a19593fd-357f-11eb-98f7-001a7dda7111,1992.0,33.45543109939759
ebrains,hoptimus,a195940e-357f-11eb-86d1-001a7dda7111,157.0,34.12440286624204
ebrains,hoptimus,a1959414-357f-11eb-a366-001a7dda7111,293.0,32.72264291808874
ebrains,hoptimus,a1959419-357f-11eb-b848-001a7dda7111,3179.0,33.07738282478767
ebrains,hoptimus,a1959422-357f-11eb-b8d5-001a7dda7111,389.0,31.21103791773779
ebrains,hoptimus,a195942f-357f-11eb-93a5-001a7dda7111,3498.0,31.425944289594053
ebrains,hoptimus,a1959438-357f-11eb-af8c-001a7dda7111,3929.0,31.38919731483838
ebrains,hoptimus,a195943f-357f-11eb-bfb8-001a7dda7111,3119.0,31.5249078230202
ebrains,hoptimus,a1959440-357f-11eb-99c0-001a7dda7111,2567.0,34.717617841838724
ebrains,hoptimus,a195bac7-357f-11eb-bfc8-001a7dda7111,3643.0,34.774687757342846
ebrains,hoptimus,a195bacc-357f-11eb-803c-001a7dda7111,2186.0,32.61973924977127
ebrains,hoptimus,a195bad0-357f-11eb-ae3c-001a7dda7111,3945.0,31.99430053865653
ebrains,hoptimus,a195bad3-357f-11eb-9b59-001a7dda7111,6260.0,33.002768071086265
ebrains,hoptimus,a195bad6-357f-11eb-8742-001a7dda7111,3524.0,32.04552709988649
ebrains,hoptimus,a195badc-357f-11eb-a490-001a7dda7111,758.0,31.969533311345646
ebrains,hoptimus,a195bade-357f-11eb-96cc-001a7dda7111,582.0,33.13928264604811
ebrains,hoptimus,a195bae0-357f-11eb-b35c-001a7dda7111,1061.0,30.69719015080113
ebrains,hoptimus,a195bae3-357f-11eb-b1e7-001a7dda7111,4250.0,33.258514705882355
ebrains,hoptimus,a195bae9-357f-11eb-b01c-001a7dda7111,3424.0,32.24840738171729
ebrains,hoptimus,a195baeb-357f-11eb-aac2-001a7dda7111,2324.0,34.3391243545611
ebrains,hoptimus,a195baf5-357f-11eb-9e7a-001a7dda7111,3761.0,33.0951583687849
