encoder,score,kruskal_stat,p,n,q_fdr
uni2,ood_mean,3.1500970335428065,0.6768579487289871,296,0.8122295384747845
uni2,ood_top5_mean,9.11805158216282,0.1044471140495015,296,0.15667067107425225
uni2,energy_mean,1.9897103323816054,0.8505669696825181,296,0.8505669696825181
hoptimus,ood_mean,15.645747000199094,0.007931741614722475,296,0.023795224844167427
hoptimus,ood_top5_mean,19.229525372534113,0.0017417850715914411,296,0.010450710429548647
hoptimus,energy_mean,14.383640397735576,0.01334763881414471,296,0.02669527762828942
