encoder,detector,variable,test,n_levels,levels,n_total,p_raw,rank_biserial,family,q
uni2,n_patches,model,kruskal,11,"['SS1302', 'SS7054', 'SS1258', 'SS1763CNTLR', 'PATH-MCLEN001MS', 'R0228416', 'SS1534CNTLR', 'SS1436CNTLR', 'SS1764CNTLR', 'R0251491', 'SS7168CNTLR']",738,2.5054973934458684e-23,,F5,1.3264397965301655e-22
hoptimus,n_patches,model,kruskal,11,"['SS1302', 'SS7054', 'SS1258', 'SS1763CNTLR', 'PATH-MCLEN001MS', 'R0228416', 'SS1534CNTLR', 'SS1436CNTLR', 'SS1764CNTLR', 'R0251491', 'SS7168CNTLR']",738,2.5054973934458684e-23,,F5,1.3264397965301655e-22
conch,maha,site,kruskal,15,"['MD Anderson Cancer Center', 'Henry Ford Hospital', 'UCSF', 'Duke', 'Emory University', 'Mayo Clinic - Rochester', 'Case Western', 'University of Florida', 'Milan - Italy, Fondazione IRCCS Instituto Neuroligico C. Besta', 'Thomas Jefferson University', 'Case Western - St Joes', 'Fondazione-Besta', 'Dept of Neurosurgery at University of Heidelberg', 'The University of New South Wales', 'University of Sao Paulo']",695,3.824132567940736e-21,,F5,1.912066283970368e-20
uni2,featnorm,model,kruskal,11,"['SS1302', 'SS7054', 'SS1258', 'SS1763CNTLR', 'PATH-MCLEN001MS', 'R0228416', 'SS1534CNTLR', 'SS1436CNTLR', 'SS1764CNTLR', 'R0251491', 'SS7168CNTLR']",738,8.550328115321656e-20,,F5,4.0501554230471004e-19
conch,maha,tumour_type,kruskal,4,"['gbm', 'unknown', 'astrocytoma', 'oligodendroglioma']",789,1.978488324445835e-18,,F5,8.903197460006257e-18
conch,maha,idh_status,mannwhitneyu,2,"['wildtype', 'mutant']",789,2.2520341004364947e-18,0.36032190252647056,F5,9.651574716156406e-18
uni2,featnorm,objective_power,mannwhitneyu,2,"[20.0, 40.0]",789,3.657277189120725e-17,-0.42320374204432176,F5,1.4961588500948418e-16
conch,flow_ood,model,kruskal,11,"['SS1302', 'SS7054', 'SS1258', 'SS1763CNTLR', 'PATH-MCLEN001MS', 'R0228416', 'SS1534CNTLR', 'SS1436CNTLR', 'SS1764CNTLR', 'R0251491', 'SS7168CNTLR']",738,8.593721330159829e-16,,F5,3.362760520497324e-15
conch,flow_ood,idh_status,mannwhitneyu,2,"['wildtype', 'mutant']",789,9.214007573635923e-16,0.33118817627258545,F5,3.455252840113471e-15
conch,flow_ood,tumour_type,kruskal,4,"['gbm', 'unknown', 'astrocytoma', 'oligodendroglioma']",789,2.591881496539806e-15,,F5,9.184638892734419e-15
conch,flow_energy,model,kruskal,11,"['SS1302', 'SS7054', 'SS1258', 'SS1763CNTLR', 'PATH-MCLEN001MS', 'R0228416', 'SS1534CNTLR', 'SS1436CNTLR', 'SS1764CNTLR', 'R0251491', 'SS7168CNTLR']",738,2.653340124567721e-15,,F5,9.184638892734419e-15
conch,maha,model,kruskal,11,"['SS1302', 'SS7054', 'SS1258', 'SS1763CNTLR', 'PATH-MCLEN001MS', 'R0228416', 'SS1534CNTLR', 'SS1436CNTLR', 'SS1764CNTLR', 'R0251491', 'SS7168CNTLR']",738,4.1774839131746795e-15,,F5,1.3924946377248933e-14
conch,flow_energy,idh_status,mannwhitneyu,2,"['wildtype', 'mutant']",789,2.585947661446745e-14,0.3139065502521312,F5,8.311974626078823e-14
conch,flow_energy,tumour_type,kruskal,4,"['gbm', 'unknown', 'astrocytoma', 'oligodendroglioma']",789,5.4461418452183344e-14,,F5,1.6901819519643106e-13
