var_a,var_b,cramers_v,p,n
dataset,vendor,0.9999999999999999,0.0,1431
dataset,objective_power,0.3289894551153407,1.4851645676035546e-35,1431
dataset,tumour_type,0.18983412108067585,3.766604514218465e-11,1430
vendor,objective_power,0.3289894551153407,1.4851645676035546e-35,1431
objective_power,tumour_type,0.30815543855498256,3.051966470818849e-29,1430
