variable,level,encoder,detector,estimand,n_ebrains,n_tcga,auroc,auroc_ci_low,auroc_ci_high,n_boot_valid,n_boot_dropped
site,Thomas Jefferson University,uni2,maha,tcga_side_only,641,19,0.9078220624235004,0.8191860923175946,0.9715397450451428,500,0
site,UCSF,uni2,maha,tcga_side_only,641,28,0.7663340081672203,0.6950926885821885,0.8377756502743325,500,0
site,University of Florida,uni2,maha,tcga_side_only,641,27,0.849919699253517,0.7802369070148323,0.9060733083117428,500,0
site,University of Sao Paulo,uni2,maha,tcga_side_only,641,17,0.7601295314637483,0.653398510860107,0.8546152921160945,500,0
site,Case Western,uni2,n_patches,tcga_side_only,641,69,0.6317002654196158,0.554050167927183,0.699999025936111,500,0
site,Case Western - St Joes,uni2,n_patches,tcga_side_only,641,103,0.5848777235267554,0.5379032924583832,0.6337629438024963,500,0
site,Dept of Neurosurgery at University of Heidelberg,uni2,n_patches,tcga_side_only,641,48,0.6714838703165376,0.5868698908570944,0.7477076178799302,500,0
site,Duke,uni2,n_patches,tcga_side_only,641,59,0.8366271884443568,0.7942513996416788,0.8799282122177333,500,0
site,Emory University,uni2,n_patches,tcga_side_only,641,21,0.7738977713178293,0.6877034448564548,0.8541937204293365,500,0
site,Fondazione-Besta,uni2,n_patches,tcga_side_only,641,21,0.747640965300849,0.6821640877290442,0.8051740471784481,500,0
site,Henry Ford Hospital,uni2,n_patches,tcga_side_only,641,173,0.327300131346059,0.2935293288541833,0.3671238956197596,500,0
site,MD Anderson Cancer Center,uni2,n_patches,tcga_side_only,641,37,0.6493652446050703,0.5842506771789249,0.7136195784614037,500,0
site,Mayo Clinic - Rochester,uni2,n_patches,tcga_side_only,641,37,0.7662458424994762,0.7128931508976704,0.8159262424633799,500,0
site,"Milan - Italy, Fondazione IRCCS Instituto Neuroligico C. Besta",uni2,n_patches,tcga_side_only,641,17,0.7753615908572732,0.7153528624089022,0.8224835160925883,500,0
site,The University of New South Wales,uni2,n_patches,tcga_side_only,641,19,0.6614022337821297,0.5702032911055831,0.7539344628869087,500,0
site,Thomas Jefferson University,uni2,n_patches,tcga_side_only,641,19,0.4428708945328437,0.3699466272509847,0.5237462030674275,500,0
site,UCSF,uni2,n_patches,tcga_side_only,641,28,0.5777244255260243,0.4695336640473825,0.6821292997002568,500,0
site,University of Florida,uni2,n_patches,tcga_side_only,641,27,0.7492467879701407,0.6879154409577559,0.809612587370248,500,0
site,University of Sao Paulo,uni2,n_patches,tcga_side_only,641,17,0.8902776590287278,0.8277486181469802,0.9475905597554024,500,0
site,Case Western,uni2,featnorm,tcga_side_only,641,69,0.6337261964947759,0.5542679978559528,0.7041348366851652,500,0
site,Case Western - St Joes,uni2,featnorm,tcga_side_only,641,103,0.7920174559720027,0.7406124625106925,0.8390080485694494,500,0
site,Dept of Neurosurgery at University of Heidelberg,uni2,featnorm,tcga_side_only,641,48,0.6097255026647288,0.5590670119633971,0.6608586517837145,500,0
site,Duke,uni2,featnorm,tcga_side_only,641,59,0.4971593335304165,0.430966955544698,0.561019858455155,500,0
site,Emory University,uni2,featnorm,tcga_side_only,641,21,0.3781290374677002,0.2627729732901742,0.4979567745913737,500,0
site,Fondazione-Besta,uni2,featnorm,tcga_side_only,641,21,0.7058762458471761,0.6471968988811829,0.7621566379829352,500,0
site,Henry Ford Hospital,uni2,featnorm,tcga_side_only,641,173,0.5302621740153246,0.4845574772531815,0.5734133330648672,500,0
site,MD Anderson Cancer Center,uni2,featnorm,tcga_side_only,641,37,0.510394078671695,0.4248830221981937,0.5969289852371208,500,0
site,Mayo Clinic - Rochester,uni2,featnorm,tcga_side_only,641,37,0.875486787659753,0.8244537217189976,0.9184894130536714,500,0
site,"Milan - Italy, Fondazione IRCCS Instituto Neuroligico C. Besta",uni2,featnorm,tcga_side_only,641,17,0.4657439865481076,0.391641230644728,0.5386045243402972,500,0
site,The University of New South Wales,uni2,featnorm,tcga_side_only,641,19,0.5773058190534476,0.4918526778319169,0.662426831695098,500,0
site,Thomas Jefferson University,uni2,featnorm,tcga_side_only,641,19,0.7215760148918807,0.614636049806543,0.8135124849044466,500,0
site,UCSF,uni2,featnorm,tcga_side_only,641,28,0.2694970757198228,0.1885288084666491,0.3625473539404629,500,0
site,University of Florida,uni2,featnorm,tcga_side_only,641,27,0.7517244473155327,0.6493935744993659,0.8419221544367462,500,0
site,University of Sao Paulo,uni2,featnorm,tcga_side_only,641,17,0.659811046511628,0.5676375224523547,0.7464987880744316,500,0
site,Case Western,conch,flow_ood,tcga_side_only,641,69,0.6557858667565443,0.5862584786555913,0.7283146997954948,500,0
site,Case Western - St Joes,conch,flow_ood,tcga_side_only,641,103,0.5704632582599534,0.5217326627840445,0.6172290905146309,500,0
site,Dept of Neurosurgery at University of Heidelberg,conch,flow_ood,tcga_side_only,641,48,0.7964334019702842,0.7472006606550533,0.8433618064100351,500,0
site,Duke,conch,flow_ood,tcga_side_only,641,59,0.672576492905006,0.6071564958186878,0.7379568793745808,500,0
site,Emory University,conch,flow_ood,tcga_side_only,641,21,0.8158470607235142,0.7233220668291995,0.8965426651549543,500,0
site,Fondazione-Besta,conch,flow_ood,tcga_side_only,641,21,0.8372260289774823,0.7787944897552311,0.8888383612778156,500,0
site,Henry Ford Hospital,conch,flow_ood,tcga_side_only,641,173,0.7809439692835058,0.744014823325938,0.8136149214088917,500,0
site,MD Anderson Cancer Center,conch,flow_ood,tcga_side_only,641,37,0.8117539414414414,0.7351295420399144,0.8770635373682651,500,0
site,Mayo Clinic - Rochester,conch,flow_ood,tcga_side_only,641,37,0.4663972475382358,0.3887219983293335,0.5489503113146665,500,0
site,"Milan - Italy, Fondazione IRCCS Instituto Neuroligico C. Besta",conch,flow_ood,tcga_side_only,641,17,0.966233470132239,0.94053587695972,0.9857187813540256,500,0
site,The University of New South Wales,conch,flow_ood,tcga_side_only,641,19,0.67984304875561,0.589486973401538,0.7653058875328468,500,0
site,Thomas Jefferson University,conch,flow_ood,tcga_side_only,641,19,0.701155140758874,0.5784792376038914,0.807921257293167,500,0
site,UCSF,conch,flow_ood,tcga_side_only,641,28,0.8782335790420819,0.8162232635324773,0.9283331691909764,500,0
site,University of Florida,conch,flow_ood,tcga_side_only,641,27,0.5738722006890612,0.48240181348801,0.6705904084080324,500,0
site,University of Sao Paulo,conch,flow_ood,tcga_side_only,641,17,0.5702854252165983,0.4490819257326933,0.7004275394139683,500,0
site,Case Western,conch,flow_energy,tcga_side_only,641,69,0.6621852530614538,0.5923386008137603,0.7261343204757812,500,0
site,Case Western - St Joes,conch,flow_energy,tcga_side_only,641,103,0.5778700515541507,0.5231814297807111,0.6276498939229986,500,0
site,Dept of Neurosurgery at University of Heidelberg,conch,flow_energy,tcga_side_only,641,48,0.8083623526324288,0.7622263913811151,0.8494403034224856,500,0
site,Duke,conch,flow_energy,tcga_side_only,641,59,0.6740841791486009,0.6132887622276193,0.738761221293316,500,0
site,Emory University,conch,flow_energy,tcga_side_only,641,21,0.8156982511997046,0.7299200352515344,0.8938581428399087,500,0
site,Fondazione-Besta,conch,flow_energy,tcga_side_only,641,21,0.8485084440753046,0.7951542001266304,0.8989461032381049,500,0
site,Henry Ford Hospital,conch,flow_energy,tcga_side_only,641,173,0.7833441154725097,0.7511539442918794,0.8211197561659339,500,0
site,MD Anderson Cancer Center,conch,flow_energy,tcga_side_only,641,37,0.8115876414204901,0.7374497222890006,0.877064561204924,500,0
site,Mayo Clinic - Rochester,conch,flow_energy,tcga_side_only,641,37,0.4746212418814163,0.3940146086307031,0.5507288809431846,500,0
