encoder,n_ref_patients,ref_fit_seconds,n_cases_scored,n_rows,scoring_seconds,cases_per_second,n_errors
uni2,2564,52.278889417648315,1430,4586,393.6535379886627,3.6326359653883875,0
conch,2564,26.37116575241089,1430,4586,256.4398105144501,5.576357263450018,0
hoptimus,2564,67.20517039299011,1430,4586,378.7274823188782,3.7758020390925293,0
