encoder,fold,detector,variant,fold_policy,n_id,n_ood,auroc,auprc_ood_positive,auprc_id_positive,prevalence_ood,fpr_at_95_tpr,rank_biserial,cohens_d,variance_ratio,ks_stat,ks_p,ks_stat_location,ks_stat_sign,auroc_ci_low,auroc_ci_high,n_boot_valid,n_boot_dropped
conch,0,featnorm,mean,per_fold,129,789,0.448620076438628,0.8513297906776912,0.11923305765988933,0.8594771241830066,0.9922480620155039,-0.102759847122744,-0.18954352050140802,1.4622017786545185,0.11828337312464998,0.08206739930839516,22.65106852759154,-1.0,0.40280209469350864,0.4943678093160806,500,0
conch,0,featnorm,p95,per_fold,129,789,0.4186390387203899,0.8420082714619476,0.13273416267513868,0.8594771241830066,1.0,-0.16272192255922024,-0.33980342950182846,1.7770899401817442,0.20653167094054883,0.00012569449059302552,22.6625,-1.0,0.3784401066996787,0.4613983700297698,500,0
conch,0,featnorm,top5_mean,per_fold,129,789,0.39999606999341725,0.8331558441772731,0.10861635539451757,0.8594771241830066,1.0,-0.2000078600131655,-0.4164387198876357,1.7542679205296006,0.2405458779143455,3.948417631440396e-06,22.673549107142858,-1.0,0.35793320953812596,0.4422275522936501,500,0
conch,0,flow_energy,mean,per_fold,129,789,0.708167536180623,0.935211553230957,0.3969950885190025,0.8594771241830066,0.6821705426356589,0.416335072361246,0.8376708600203299,0.9677591905903181,0.2821941226751555,2.7017356823629302e-08,43.51972198486328,1.0,0.6603206885371533,0.753008174413692,500,0
conch,0,flow_energy,p95,per_fold,129,789,0.697301067979289,0.9310559502652582,0.34621888578092286,0.8594771241830066,0.7906976744186046,0.39460213595857807,0.7623678550458297,1.2220459875437408,0.2933651663866537,6.1521368325133465e-09,62.9776611328125,1.0,0.6488315599178628,0.7464659415804522,500,0
conch,0,flow_ood,mean,per_fold,129,789,0.7034122282154823,0.9340070428827391,0.39020976833223636,0.8594771241830066,0.6821705426356589,0.40682445643096465,0.819440762249821,0.9498180986363073,0.27332213281457246,8.382915109945332e-08,42.92897415161133,1.0,0.6555302561381791,0.7525154498383784,500,0
conch,0,flow_ood,median,per_fold,129,789,0.6918088837798804,0.931254762504712,0.37294829665259926,0.8594771241830066,0.6976744186046512,0.38361776755976074,0.777104780499615,0.9366837219894464,0.267721873434138,1.6803381390877534e-07,33.53897857666016,1.0,0.6444245487861192,0.7395439718611528,500,0
conch,0,flow_ood,p90,per_fold,129,789,0.694461638223244,0.9300565956032701,0.3509901828845991,0.8594771241830066,0.751937984496124,0.38892327644648805,0.7585352491779729,1.0591028569573566,0.2941020426209214,5.565739373134472e-09,58.43889236450195,1.0,0.6428292117389297,0.7470701800925517,500,0
conch,0,flow_ood,p95,per_fold,129,789,0.6940293374991403,0.9301808232639096,0.343147283411142,0.8594771241830066,0.7751937984496124,0.3880586749982806,0.7518402088233551,1.1997999836601891,0.2889733840304182,1.1087439981256726e-08,61.61498260498047,1.0,0.64714067458563,0.7388429569369528,500,0
conch,0,flow_ood,p99,per_fold,129,789,0.6655760898399505,0.9217478183414962,0.2921454612322838,0.8594771241830066,0.813953488372093,0.33115217967990107,0.6394993662325305,1.348244563198818,0.24181330503728593,3.4343488701996566e-06,75.92253112792969,1.0,0.6143484540336606,0.7125922323419891,500,0
conch,0,flow_ood,std,per_fold,129,789,0.416561047739755,0.826316517020715,0.12109165815034856,0.8594771241830066,0.9612403100775194,-0.16687790452049,-0.2761737793648128,0.9280455547122944,0.14964482565508297,0.012318194069312985,13.044307708740234,-1.0,0.3616495220129494,0.47172704139279426,500,0
conch,0,flow_ood,top5_mean,per_fold,129,789,0.6799304388834851,0.9270148464123229,0.3164163689963146,0.8594771241830066,0.7829457364341085,0.3598608777669703,0.6985101789502387,1.3267420204728164,0.27912871754060187,4.014605734461109e-08,68.12232971191406,1.0,0.6338734636130515,0.7254502313791376,500,0
conch,0,maha,mean,per_fold,129,789,0.6349416885273282,0.9111317297390121,0.32010309134264514,0.8594771241830066,0.7674418604651163,0.2698833770546565,0.5370799869756532,1.4049261703670788,0.224865151649129,2.084131164281441e-05,51.23389017370653,1.0,0.5751004607932718,0.6911167113704916,500,0
conch,0,maha,median,per_fold,129,789,0.6312966074218175,0.9099496132457661,0.3366578018092691,0.8594771241830066,0.7286821705426356,0.26259321484363496,0.5219058856015931,1.382073988312431,0.23582987001503228,6.595997392172516e-06,45.97549505143672,1.0,0.5720829526139457,0.6833802477869151,500,0
conch,0,maha,p90,per_fold,129,789,0.603816036391861,0.8989927318597769,0.2533820823270806,0.8594771241830066,0.8604651162790697,0.20763207278372198,0.39663588934203353,1.3627970735934711,0.16788988121555104,0.003328260572028735,79.52098958478723,1.0,0.5495271710830115,0.6606417209498826,500,0
conch,0,maha,p95,per_fold,129,789,0.5957693479136578,0.8980923763693607,0.23060298135542545,0.8594771241830066,0.8914728682170543,0.19153869582731553,0.3730091063400079,1.5638638160751028,0.15453768385062044,0.008803298910458019,92.96540015371322,1.0,0.54164480600505,0.6472718385553295,500,0
conch,0,maha,p99,per_fold,129,789,0.5680235014393649,0.8907051692025587,0.1918338351801893,0.8594771241830066,0.8992248062015504,0.13604700287872973,0.2870467891488258,1.5678639586391059,0.13054499366286437,0.041224046599072875,137.7053408146521,1.0,0.51384246568613,0.6189561411265364,500,0
conch,0,maha,std,per_fold,129,789,0.49268527524783606,0.8667154893892345,0.1422263811701979,0.8594771241830066,0.9534883720930233,-0.014629449504327874,0.058771273442617504,1.5862870155829012,0.06838211454004185,0.6489443841765345,16.22114534813785,-1.0,0.4440693744412022,0.5451356343521875,500,0
conch,0,maha,top5_mean,per_fold,129,789,0.5733388353425493,0.8933524666705192,0.19945520563527436,0.8594771241830066,0.8914728682170543,0.14667767068509852,0.3123360319471701,1.6491186672813256,0.1324903469213311,0.036726944803657076,125.27793282548234,1.0,0.5230583311227047,0.6246281231271061,500,0
conch,0,mahaenergy,mean,per_fold,129,789,0.6378891934643991,0.9119828583862739,0.3257258022515726,0.8594771241830066,0.7596899224806202,0.2757783869287982,0.5461662267771028,1.424950260019172,0.22613257877206944,1.8299560804892293e-05,42.98930994946846,1.0,0.5832127312563249,0.6910349181084878,500,0
conch,0,mahaenergy,p95,per_fold,129,789,0.5961721735883907,0.8983097196745293,0.23014848619753,0.8594771241830066,0.875968992248062,0.1923443471767814,0.37471736592850696,1.5731292186724761,0.1520028296047396,0.010491848946720042,63.63170958997983,1.0,0.5420790717324452,0.6475729753097337,500,0
conch,0,mahaenergy,top5_mean,per_fold,129,789,0.5735844607539717,0.8934724757530386,0.1992958968376017,0.8594771241830066,0.8914728682170543,0.14716892150794347,0.3135491486777638,1.6615936034304424,0.13346302355056444,0.034643752385041506,79.36412343752818,1.0,0.522571992808088,0.6262738133836374,500,0
conch,0,mahapc,mean,per_fold,129,789,0.6807066151835803,0.9249143443827261,0.3619487482183412,0.8594771241830066,0.751937984496124,0.36141323036716066,0.6864719020816871,1.5982960931256236,0.25781825684558024,5.531813210281685e-07,62.69632949850016,1.0,0.6293259547459742,0.7337268252424322,500,0
conch,0,mahapc,p95,per_fold,129,789,0.6226211178903724,0.9064883449473138,0.24564286829438847,0.8594771241830066,0.8449612403100775,0.2452422357807449,0.45193076486590344,1.757820118203486,0.18507383499867364,0.0008440470296419408,95.28368971772971,1.0,0.5720488106817578,0.6771516786040616,500,0
conch,0,mahapc,top5_mean,per_fold,129,789,0.5943741955767776,0.9005994761497431,0.20753029020179978,0.8594771241830066,0.875968992248062,0.18874839115355524,0.37702447504278486,1.8352573045456793,0.19391634980988592,0.0003951963656074669,117.17359868289763,1.0,0.5445196058203398,0.6445878896847151,500,0
conch,0,n_patches,raw,per_fold,129,789,0.6076428803018245,0.9033335277757524,0.21245233874150204,0.8594771241830066,0.8914728682170543,0.2152857606036489,0.38650321890920863,1.3302222576710945,0.17458071742270168,0.0019825227571809026,3535.0,1.0,0.5580533203643117,0.6557336339788369,500,0
conch,1,featnorm,mean,per_fold,128,789,0.4526299112801014,0.851956574900064,0.1200074167615067,0.8604143947655398,0.9921875,-0.09474017743979724,-0.17779903759067334,1.4231191889940744,0.10457263941698353,0.16610511776542383,22.64641870105942,-1.0,0.40285270120405575,0.5027643278675539,500,0
conch,1,featnorm,p95,per_fold,128,789,0.45442708333333337,0.8519841772237591,0.13226677281860352,0.8604143947655398,1.0,-0.09114583333333326,-0.17948022553158055,1.4346609689201724,0.13567411280101394,0.031111737362610255,22.6625,-1.0,0.41182890724017746,0.49621702709125476,500,0
conch,1,featnorm,top5_mean,per_fold,128,789,0.43148962294043086,0.8511219808069161,0.11348960114152143,0.8604143947655398,0.9921875,-0.13702075411913828,-0.2746468643827204,1.5431674376529547,0.16272576045627377,0.0050903387604987315,22.67296875,-1.0,0.38376084244296577,0.47667859830481624,500,0
conch,1,flow_energy,mean,per_fold,128,789,0.7411181083650191,0.9449924884695776,0.4273838304742991,0.8604143947655398,0.671875,0.48223621673003825,0.9647648011530497,1.0050198000583663,0.3501168409378961,1.5442591967229046e-12,48.82329559326172,1.0,0.6958704649873256,0.7850619355988594,500,0
conch,1,flow_energy,p95,per_fold,128,789,0.7126505069708492,0.938567180476732,0.3632945351467178,0.8604143947655398,0.7734375,0.4253010139416984,0.8417590736217202,1.412515749605137,0.31841135931558934,2.080937074699999e-10,68.71915435791016,1.0,0.6654989999207858,0.7590294280735107,500,0
conch,1,flow_ood,mean,per_fold,128,789,0.735483998732573,0.943478704052196,0.41992375613418736,0.8604143947655398,0.6875,0.47096799746514595,0.9435082418994929,0.9841035842270498,0.33997742395437264,7.834226073552852e-12,48.22532653808594,1.0,0.6899026655576679,0.7784099235583017,500,0
conch,1,flow_ood,median,per_fold,128,789,0.7261961343472751,0.9414001383660245,0.40934011657810676,0.8604143947655398,0.6953125,0.4523922686945503,0.9106252835700507,0.9322735191720961,0.33343235107731306,2.1732254222716484e-11,47.65501022338867,1.0,0.6826033250158429,0.7739397675063372,500,0
conch,1,flow_ood,p90,per_fold,128,789,0.7176608048162231,0.9405342090913307,0.37122720923864533,0.8604143947655398,0.765625,0.43532160963244615,0.8704930062963947,1.2191785607599464,0.30679657794676807,1.1060657716700513e-09,63.56322479248047,1.0,0.6736501406051965,0.7666760733523448,500,0
